GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,HOME_TEAM_ID,VISITOR_TEAM_ID
0022400184,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,28.000000:59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,0.0,1.0,3.0,2.0,1.0,0.0,34.0,1610612766,1610612754
0022400184,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,,4.000000:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,1610612766,1610612754
0022400184,1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,Nick,,,1.000000:14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612766,1610612754
0022400184,1610612766,CHA,Charlotte,1631197,Jared Rhoden,Jared,,,1.000000:14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612766,1610612754
0022400184,1610612766,CHA,Charlotte,203995,Vasilije Micić,Vasilije,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,1610612766,1610612754
0022400185,1610612737,ATL,Atlanta,1642258,Zaccharie Risacher,Zaccharie,F,,25.000000:04,2.0,7.0,0.286,0.0,3.0,0.0,3.0,4.0,0.75,4.0,1.0,5.0,3.0,0.0,1.0,3.0,3.0,7.0,-4.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1630552,Jalen Johnson,Jalen,F,,37.000000:10,8.0,19.0,0.421,2.0,6.0,0.333,2.0,2.0,1.0,0.0,9.0,9.0,1.0,0.0,1.0,1.0,2.0,20.0,-12.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,203991,Clint Capela,Clint,C,,18.000000:40,3.0,10.0,0.3,0.0,0.0,0.0,1.0,4.0,0.25,7.0,5.0,12.0,2.0,0.0,1.0,2.0,1.0,7.0,-4.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1630700,Dyson Daniels,Dyson,G,,38.000000:28,7.0,17.0,0.412,2.0,6.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,2.0,7.0,2.0,2.0,4.0,18.0,10.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1629027,Trae Young,Trae,G,,41.000000:00,11.0,25.0,0.44,6.0,12.0,0.5,7.0,8.0,0.875,0.0,2.0,2.0,13.0,2.0,0.0,3.0,2.0,35.0,14.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1631223,David Roddy,David,,,15.000000:57,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,3.0,3.0,3.0,5.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,,,16.000000:49,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,0.0,1.0,1.0,4.0,8.0,3.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1629726,Garrison Mathews,Garrison,,,27.000000:21,2.0,5.0,0.4,1.0,4.0,0.25,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,-2.0,1610612765,1610612737
0022400185,1610612737,ATL,Atlanta,1630811,Keaton Wallace,Keaton,,,7.000000:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-15.0,1610612765,1610612737
