Player Name,Matchup,Market,Odds
D. Jones,@ CAR,Over 234.5 Pass + Rush Yds,-114
M. Nabers,@ CAR,Under 12.5 1Q Rec Yds,-115
M. Nabers,@ CAR,Over 6.5 Receptions,-138
M. Nabers,@ CAR,Over 6.5 Receptions,-138
W. Robinson,@ CAR,Under 36.5 Rec Yds,-114
W. Robinson,@ CAR,Over 5.5 1Q Rec Yds,-122
C. Hubbard,VS NYG,Over 65.5 Rush Yds,-114
B. Young,VS NYG,Over 2.5 Rush Att,-135
M. Nabers,@ CAR,Under 72.5 Rec Yds,-114
M. Nabers,@ CAR,Under 77.5 Rush + Rec Yds,-115
W. Robinson,@ CAR,Under 39.5 Rush + Rec Yds,-115
T. Tracy,@ CAR,Over 75.5 Rush Yds,-115
X. Legette,VS NYG,Over 31.5 Rec Yds,-115
X. Legette,VS NYG,Over 3.5 Receptions,+120
D. Jones,@ CAR,Over 51.5 1Q Pass + Rush Yds,-114
W. Robinson,@ CAR,Under 5.5 Receptions,-160
G. Gano,@ CAR,Over 1.5 FGM,-135
G. Gano,@ CAR,Under 2.5 XPM,-175
T. Tracy,@ CAR,Over 17.5 Rush Att,+120
T. Tracy,@ CAR,Under 11.5 Rec Yds,-115
T. Johnson,@ CAR,Over 29.5 Rec Yds,-110
T. Johnson,@ CAR,Over 29.5 Rec Yds,-110
T. Johnson,@ CAR,Over 2.5 Receptions,-140
T. Johnson,@ CAR,Over 2.5 Receptions,-140
C. Williams,VS NE,Under 1.5 Pass TD,-205
D. Swift,VS NE,Over 0.5 Anytime TD,+105
C. Santos,VS NE,Under 2.5 XPM,-214
R. Stevenson,@ CHI,Over 0.5 Anytime TD,+175
D. Maye,@ CHI,Over 0.5 Pass TD,-220
J. Slye,@ CHI,Under 1.5 FGM,-157
J. Slye,@ CHI,Over 1.5 XPM,-106
D. Mooney,@ NO,Over 0.5 Anytime TD,+125
B. Robinson,@ NO,Over 0.5 Anytime TD,-170
P. Mahomes,VS DEN,Over 1.5 Pass TD,+100
J. Williams,@ KC,Over 19.5 Rec Yds,-115
C. Sutton,@ KC,Over 52.5 Rec Yds,-115
B. Thomas,VS MIN,Over 0.5 Anytime TD,+230
T. Lawrence,VS MIN,Over 0.5 Anytime TD,+360
J. Oliver,@ JAX,Over 0.5 Anytime TD,+650
J. Oliver,@ JAX,Over 0.5 Anytime TD,+650
C. Williams,VS NE,Over 213.5 Pass Yds,-114
D. Douglas,@ CHI,Under 36.5 Rec Yds,-115
K. Hunt,VS DEN,Over 0.5 Anytime TD,-140
K. Hunt,VS DEN,Over 0.5 Anytime TD,-140
C. Sutton,@ KC,Over 0.5 Anytime TD,+320
B. Grupe,VS ATL,Over 1.5 FGM,-115
B. Grupe,VS ATL,Over 2.5 XPM,+155
Y. Koo,@ NO,Under 1.5 FGM,+110
Y. Koo,@ NO,Over 2.5 XPM,-120
Y. Koo,@ NO,Over 2.5 XPM,-120
K. Cousins,@ NO,Over 1.5 Pass TD,-125
P. Mahomes,VS DEN,Over 231.5 Pass Yds,-114
P. Mahomes,VS DEN,Over 231.5 Pass Yds,-114
P. Mahomes,VS DEN,Over 231.5 Pass Yds,-114
H. Butker,VS DEN,Over 1.5 FGM,-165
H. Butker,VS DEN,Under 2.5 XPM,-120
B. Nix,@ KC,Over 207.5 Pass Yds,-114
M. Gay,VS BUF,Over 1.5 FGM,-115
M. Gay,VS BUF,Over 1.5 FGM,-115
J. Flacco,VS BUF,Over 1.5 Pass TD,+136
J. Flacco,VS BUF,Under 22.5 Pass Compl,-128
J. Flacco,VS BUF,Over 0.5 Int,-155
J. Taylor,VS BUF,Over 103.5 Rush + Rec Yds,-115
K. Shakir,@ IND,Over 5.5 Receptions,+110
J. Allen,@ IND,Over 1.5 Pass TD,-115
J. Allen,@ IND,Over 1.5 Pass TD,-115
J. Allen,@ IND,Over 0.5 Int,-105
J. Allen,@ IND,Over 5.5 Rush Att,-120
D. Kincaid,@ IND,Under 4.5 Receptions,-105
J. Cook,@ IND,Over 62.5 Rush Yds,-114
J. Cook,@ IND,Over 2.5 Receptions,-105
C. Williams,VS NE,Under 0.5 Int,-120
D. Swift,VS NE,Over 17.5 Rec Yds,-114
B. Nix,@ KC,Over 24.5 Rush Yds,-115
J. Taylor,VS BUF,Over 18.5 Rush Att,-102
J. Taylor,VS BUF,Under 3.5 Receptions,-170
J. Taylor,VS BUF,Over 0.5 Anytime TD,-160
J. Downs,VS BUF,Under 6.5 Receptions,-120
D. Knox,@ IND,Over 8.5 Rec Yds,-115
J. Cook,@ IND,Over 14.5 Rush Att,-120
J. Cook,@ IND,Over 0.5 Anytime TD,-115
C. Little,VS MIN,Over 1.5 XPM,-155
S. Darnold,@ JAX,Over 1.5 Pass TD,-138
S. Darnold,@ JAX,Over 1.5 Pass TD,-138
J. Jefferson,@ JAX,Over 92.5 Rec Yds,-114
J. Jefferson,@ JAX,Over 6.5 Receptions,-122
C. McLaughlin,VS SF,Under 1.5 FGM,-150
C. McLaughlin,VS SF,Over 2.5 XPM,+160
B. Mayfield,VS SF,Over 1.5 Pass TD,-102
B. Mayfield,VS SF,Over 1.5 Pass TD,-102
B. Mayfield,VS SF,Over 0.5 Int,-150
B. Mayfield,VS SF,Over 0.5 Int,-150
B. Purdy,@ TB,Over 1.5 Pass TD,-140
B. Purdy,@ TB,Over 1.5 Pass TD,-140
B. Purdy,@ TB,Under 0.5 Int,-140
T. McLaurin,VS PIT,Over 58.5 Rec Yds,-115
J. Daniels,VS PIT,Over 43.5 Rush Yds,-115
J. Daniels,VS PIT,Under 0.5 Int,-130
R. Wilson,@ WAS,Over 216.5 Pass Yds,-114
R. Wilson,@ WAS,Over 216.5 Pass Yds,-114
J. Oliver,@ JAX,Over 0.5 1Q Anytime TD,+3700
C. Kmet,VS NE,Over 25.5 Rec Yds,-114
C. Williams,VS NE,Over 18.5 Pass Compl,-110
D. Swift,VS NE,Over 71.5 Rush Yds,-114
R. Stevenson,@ CHI,Over 2.5 Receptions,-135
B. Mayfield,VS SF,Under 3.5 Rush Att,-165
R. White,VS SF,Over 0.5 Anytime TD,+175
R. White,VS SF,Over 0.5 Anytime TD,+175
C. Otton,VS SF,Over 0.5 Anytime TD,+180
G. Kittle,@ TB,Over 0.5 Anytime TD,+145
B. Purdy,@ TB,Over 0.5 Anytime TD,+480
C. McCaffrey,@ TB,Over 0.5 Anytime TD,-260
C. McCaffrey,@ TB,Over 0.5 Anytime TD,-260
K. Cousins,@ NO,Under 0.5 Int,-130
T. Kelce,VS DEN,Over 57.5 Rec Yds,-115
T. Kelce,VS DEN,Over 57.5 Rec Yds,-115
T. Kelce,VS DEN,Over 57.5 Rec Yds,-115
J. Taylor,VS BUF,Over 19.5 Rec Yds,-115
J. Taylor,VS BUF,Over 81.5 Rush Yds,-114
S. Darnold,@ JAX,Over 54.5 1Q Pass Yds,-118
S. Darnold,@ JAX,Over 54.5 1Q Pass Yds,-118
A. Jones,@ JAX,Over 16.5 1Q Rush Yds,-118
A. Jones,@ JAX,Over 16.5 1Q Rush Yds,-118
A. Jones,@ JAX,Over 16.5 Rush Att,-128
A. Jones,@ JAX,Over 16.5 Rush Att,-128
