Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Kevin Huerter,MIA,Under 0.5 Blocks,-295,Hit in 4 of his last 4 games,100%
Kevin Huerter,MIA,Under 0.5 Blocks,-295,Hit in 7 of his last 7 games vs MIA,100%
Coby White,MIA,Over 8.5 REB+AST,-108,Hit in 9 of his last 9 home games,100%
Coby White,MIA,Under 22.5 Points,-130,Hit in 5 of his last 5 games vs MIA,100%
Bam Adebayo,CHI,Over 0.5 3PTM,-210,Hit in 12 of his last 12 games,100%
Josh Giddey,MIA,Over 0.5 Double Double,-260,Hit in 5 of his last 5 games,100%
Aaron Wiggins,CHI,Over 4.5 Rebounds,-110,Hit in 4 of his last 4 games,100%
Aaron Wiggins,CHI,Over 7.5 REB+AST,-118,Hit in 5 of his last 5 games,100%
Aaron Wiggins,CHI,Under 21.5 PTS+AST,-118,Hit in 4 of his last 4 games,100%
Zach Collins,MIA,Over 1.5 Assists,-130,Hit in 4 of his last 5 games,80%
Aaron Wiggins,CHI,Over 2.5 Assists,-155,Hit in 6 of his last 6 games,100%
Bam Adebayo,CHI,Under 14.5 REB+AST,-125,Hit in 4 of his last 4 games vs CHI,100%
Bam Adebayo,CHI,Under 4.5 Assists,102,Hit in 4 of his last 4 games vs CHI,100%
Bam Adebayo,CHI,Under 9.5 Rebounds,-110,Hit in 4 of his last 4 games vs CHI,100%
Bam Adebayo,CHI,Over 0.5 3PTM,-210,Hit in 4 of his last 4 games vs CHI,100%
Bam Adebayo,CHI,Over 0.5 3PTM,-210,Hit in 5 of his last 5 away games,100%
David Robinson,CHI,Under 2.5 3PTM,-198,Hit in 4 of his last 4 games vs CHI,100%
Alec Burks,CHI,Over 1.5 3PTM,-130,Hit in 4 of his last 4 games,100%
Alec Burks,CHI,Over 6.5 Points,-108,Hit in 4 of his last 4 games,100%
Tyler Herro,CHI,Under 1.5 Steals,-220,Hit in 4 of his last 4 games,100%
Tyler Herro,CHI,Under 1.5 Steals,-220,Hit in 6 of his last 6 games vs CHI,100%
Kel'el Ware,CHI,Over 9.5 Points,-102,Hit in 4 of his last 4 games,100%
Aaron Wiggins,CHI,Under 22.5 PTS+REB,-112,Hit in 4 of his last 4 games,100%
Aaron Wiggins,CHI,Under 17.5 Points,-104,Hit in 4 of his last 4 games,100%
Aaron Wiggins,CHI,Under 25.5 PTS+AST+REB,-105,Hit in 4 of his last 4 games,100%
Domantas Sabonis,DAL,Under 26.5 PTS+AST,-130,Hit in 5 of his last 5 games vs DAL,100%
Domantas Sabonis,DAL,Under 33.5 PTS+REB,-120,Hit in 5 of his last 5 games vs DAL,100%
Domantas Sabonis,DAL,Over 6.5 Assists,110,Hit in 4 of his last 4 games vs DAL,100%
Domantas Sabonis,DAL,Under 19.5 Points,-114,Hit in 5 of his last 5 games vs DAL,100%
Domantas Sabonis,DAL,Under 0.5 3PTM,100,Hit in 4 of his last 4 games vs DAL,100%
Trey Lyles,DAL,Over 11.5 PTS+REB,-125,Hit in 6 of his last 6 games,100%
Trey Lyles,DAL,Over 6.5 Points,-122,Hit in 6 of his last 6 games,100%
Keegan Murray,DAL,Over 5.5 Rebounds,-102,Hit in 4 of his last 4 home games,100%
Devin Carter,DAL,Over 0.5 3PTM,100,Hit in 4 of his last 4 games,100%
Devin Carter,DAL,Over 3.5 Points,-115,Hit in 4 of his last 4 games,100%
DeMar DeRozan,DAL,Under 5.5 Assists,-138,Hit in 4 of his last 4 games vs DAL,100%
DeMar DeRozan,DAL,Under 4.5 Rebounds,-172,Hit in 6 of his last 6 games,100%
DeMar DeRozan,DAL,Under 1.5 3PTM,-166,Hit in 4 of his last 4 games,100%
Keon Ellis,DAL,Under 2.5 Assists,-140,Hit in 7 of his last 7 games vs DAL,100%
Keon Ellis,DAL,Over 0.5 Blocks,-175,Hit in 5 of his last 5 home games,100%
Zach LaVine,DAL,Under 8.5 REB+AST,-120,Hit in 4 of his last 4 games vs DAL,100%
Zach LaVine,DAL,Under 28.5 PTS+REB,-122,Hit in 4 of his last 4 games vs DAL,100%
Zach LaVine,DAL,Under 4.5 Assists,-130,Hit in 4 of his last 4 games vs DAL,100%
Zach LaVine,DAL,Under 32.5 PTS+AST+REB,-108,Hit in 4 of his last 4 games vs DAL,100%
Zach LaVine,DAL,Over 3.5 3PTM,120,Hit in 6 of his last 6 games,100%
Kevin Thompson,SAC,Under 5.5 REB+AST,-154,Hit in 4 of his last 4 games,100%
Kevin Thompson,SAC,Under 5.5 REB+AST,-154,Hit in 4 of his last 4 games vs SAC,100%
Kevin Thompson,SAC,Under 16.5 PTS+AST,-114,Hit in 4 of his last 4 games,100%
Kevin Thompson,SAC,Under 2.5 Assists,-146,Hit in 5 of his last 5 games,100%
Kevin Thompson,SAC,Under 2.5 Assists,-146,Hit in 6 of his last 6 games vs SAC,100%
Kevin Thompson,SAC,Under 19.5 PTS+AST+REB,-118,Hit in 4 of his last 4 games,100%
Kevin Thompson,SAC,Under 2.5 Rebounds,102,Hit in 4 of his last 4 games,100%
Kevin Thompson,SAC,Under 14.5 Points,-130,Hit in 4 of his last 4 games,100%
Kevin Thompson,SAC,Under 0.5 Blocks,-285,Hit in 4 of his last 4 games,100%
P.J. Washington,SAC,Over 1.5 3PTM,-158,Hit in 4 of his last 4 games vs SAC,100%
P.J. Washington,SAC,Under 14.5 Points,-102,Hit in 5 of his last 5 games,100%
Naji Marshall,SAC,Under 1.5 3PTM,-250,Hit in 6 of his last 6 games vs SAC,100%
D. Lively,SAC,Over 4.5 Rebounds,-138,Hit in 4 of his last 4 games vs SAC,100%
Max Christie,SAC,Over 1.5 Assists,-150,Hit in 4 of his last 4 games,100%
Max Christie,SAC,Over 6.5 Points,-130,Hit in 7 of his last 7 games,100%
Anthony Davis,SAC,Under 1.5 Steals,-270,Hit in 11 of his last 11 games,100%
Domantas Sabonis,DAL,Over 19.5 REB+AST,-136,Hit in 4 of his last 4 games vs DAL,100%
Kevin Thompson,SAC,Under 16.5 PTS+REB,-102,Hit in 4 of his last 4 games,100%
Trey Lyles,DAL,Over 13.5 PTS+AST+REB,-130,Hit in 6 of his last 6 games,100%
Devin Carter,DAL,Over 7.5 PTS+AST+REB,100,Hit in 4 of his last 4 games,100%
Max Christie,SAC,Over 10.5 PTS+AST+REB,-125,Hit in 7 of his last 7 games,100%
Tyler Herro,CHI,Under 0.5 Blocks,-325,Hit in 12 of his last 13 games,92%
Devin Carter,DAL,Under 1.5 Assists,-200,Hit in 9 of his last 10 games,90%
Naji Marshall,SAC,Under 16.5 PTS+AST,-110,Hit in 9 of his last 10 games vs SAC,90%
Naji Marshall,SAC,Under 12.5 Points,-114,Hit in 9 of his last 10 games vs SAC,90%
Naji Marshall,SAC,Under 1.5 3PTM,-250,Hit in 9 of his last 10 games,90%
Daniel Gafford,SAC,Over 13.5 PTS+REB,-106,Hit in 18 of his last 20 games,90%
Daniel Gafford,SAC,Over 14.5 PTS+AST+REB,-140,Hit in 18 of his last 20 games,90%
Domantas Sabonis,DAL,Under 0.5 Blocks,-225,Hit in 8 of his last 9 games vs DAL,89%
Kevin Thompson,SAC,Under 3.5 3PTM,-192,Hit in 8 of his last 9 games vs SAC,89%
Daniel Gafford,SAC,Over 13.5 PTS+REB,-106,Hit in 8 of his last 9 away games,89%
Daniel Gafford,SAC,Over 14.5 PTS+AST+REB,-140,Hit in 8 of his last 9 away games,89%
Spencer Dinwiddie,SAC,Over 2.5 Rebounds,-105,Hit in 8 of his last 9 games,89%
Davion Mitchell,CHI,Under 15.5 PTS+AST,-108,Hit in 7 of his last 8 games vs CHI,88%
Davion Mitchell,CHI,Under 18.5 PTS+AST+REB,-108,Hit in 7 of his last 8 games vs CHI,88%
Naji Marshall,SAC,Over 3.5 Rebounds,-148,Hit in 7 of his last 8 games vs SAC,88%
D. Lively,SAC,Over 11.5 PTS+REB,-104,Hit in 7 of his last 8 away games,88%
D. Lively,SAC,Over 4.5 Rebounds,-138,Hit in 7 of his last 8 away games,88%
Anthony Davis,SAC,Under 37.5 PTS+REB,-110,Hit in 7 of his last 8 games,88%
Tyler Herro,CHI,Under 11.5 REB+AST,-122,Hit in 13 of his last 15 games,87%
Josh Giddey,MIA,Under 1.5 Steals,-168,Hit in 6 of his last 7 games vs MIA,86%
Davion Mitchell,CHI,Over 12.5 PTS+REB,-125,Hit in 12 of his last 14 games,86%
Davion Mitchell,CHI,Over 9.5 Points,-125,Hit in 12 of his last 14 games,86%
Bam Adebayo,CHI,Under 1.5 Steals,-220,Hit in 6 of his last 7 games vs CHI,86%
David Robinson,CHI,Over 1.5 Rebounds,-160,Hit in 6 of his last 7 games,86%
Patrick Williams,MIA,Over 2.5 Rebounds,-174,Hit in 6 of his last 7 games,86%
Aaron Wiggins,CHI,Under 17.5 Points,-104,Hit in 6 of his last 7 games vs CHI,86%
Keon Ellis,DAL,Over 11.5 PTS+AST,-118,Hit in 6 of his last 7 home games,86%
Keon Ellis,DAL,Over 0.5 Blocks,-175,Hit in 6 of his last 7 games,86%
Daniel Gafford,SAC,Over 5.5 Rebounds,128,Hit in 12 of his last 14 games,86%
Max Christie,SAC,Over 2.5 Rebounds,110,Hit in 6 of his last 7 games,86%
Daniel Gafford,SAC,Over 0.5 Assists,-220,Hit in 17 of his last 20 games,85%
Zach Collins,MIA,Over 11.5 PTS+AST+REB,-110,Hit in 10 of his last 12 home games,83%
Zach Collins,MIA,Over 5.5 Points,-120,Hit in 10 of his last 12 home games,83%
Matas Buzelis,MIA,Over 16.5 PTS+REB,-118,Hit in 5 of his last 6 home games,83%
