Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Jayson Tatum,MIA,Over 1.5 STL+BLK,104,Hit in 6 of his last 6 games,100%
Jayson Tatum,MIA,Under 0.5 Steals,152,Hit in 4 of his last 4 games vs MIA,100%
Jackie Butler,BOS,Over 0.5 Steals,-184,Hit in 11 of his last 11 games vs BOS,100%
Jackie Butler,BOS,Over 0.5 Steals,-184,Hit in 11 of his last 15 games,73%
Jackie Butler,BOS,Under 0.5 Blocks,-294,Hit in 4 of his last 4 games,100%
Dyson Daniels,NOP,Over 3.5 STL+BLK,126,Hit in 5 of his last 5 home games,100%
Onyeka Okongwu,NOP,Over 6.5 Rebounds,-148,Hit in 4 of his last 4 home games,100%
De'Andre Hunter,NOP,Under 0.5 Steals,-109,Hit in 4 of his last 4 games,100%
De'Andre Hunter,NOP,Over 4.5 REB+AST,-154,Hit in 4 of his last 4 games vs NOP,100%
De'Andre Hunter,NOP,Over 3.5 Rebounds,-113,Hit in 4 of his last 4 games vs NOP,100%
De'Andre Hunter,NOP,Under 0.5 Blocks,-354,Hit in 6 of his last 6 games,100%
De'Andre Hunter,NOP,Under 0.5 STL+BLK,143,Hit in 4 of his last 4 games,100%
Bogdan Bogdanović,NOP,Over 14.5 PTS+REB,-148,Hit in 4 of his last 4 games,100%
Bogdan Bogdanović,NOP,Under 1.5 STL+BLK,-199,Hit in 6 of his last 6 games,100%
Clint Capela,NOP,Over 0.5 Steals,-137,Hit in 4 of his last 4 games,100%
Clint Capela,NOP,Over 0.5 Assists,-224,Hit in 14 of his last 14 games,100%
Clint Capela,NOP,Over 0.5 Assists,-224,Hit in 10 of his last 10 home games,100%
Thaddeus Young,NOP,Under 0.5 Blocks,-404,Hit in 4 of his last 4 games,100%
Thaddeus Young,NOP,Under 24.5 PTS+REB,-115,Hit in 4 of his last 4 games,100%
Thaddeus Young,NOP,Over 0.5 Double Double,-220,Hit in 4 of his last 4 games vs NOP,100%
JaJuan Johnson,NOP,Over 1.5 3PTM,-113,Hit in 6 of his last 6 games,100%
JaJuan Johnson,NOP,Over 24.5 PTS+AST,-113,Hit in 5 of his last 5 games,100%
JaJuan Johnson,NOP,Over 24.5 PTS+AST,-113,Hit in 5 of his last 5 home games,100%
JaJuan Johnson,NOP,Over 19.5 Points,-111,Hit in 5 of his last 5 games,100%
JaJuan Johnson,NOP,Over 2.5 Turnovers,104,Hit in 4 of his last 4 home games,100%
Dejounte Murray,ATL,Under 27.5 PTS+AST,-120,Hit in 4 of his last 4 games,100%
Jayson Tatum,MIA,Under 5.5 Assists,108,Hit in 4 of his last 4 games,100%
Jackie Butler,BOS,Under 9.5 REB+AST,-142,Hit in 4 of his last 4 games,100%
Jayson Tatum,MIA,Under 44.5 P+A+R,-106,Hit in 5 of his last 5 games vs MIA,100%
Jayson Tatum,MIA,Under 38.5 PTS+REB,-113,Hit in 9 of his last 9 games vs MIA,100%
Jayson Tatum,MIA,Under 35.5 PTS+AST,-113,Hit in 9 of his last 9 games vs MIA,100%
Jayson Tatum,MIA,Under 28.5 Points,-102,Hit in 9 of his last 9 games vs MIA,100%
Josh Giddey,BRO,Over 12.5 REB+AST,106,Hit in 6 of his last 6 home games,100%
Josh Giddey,BRO,Over 5.5 Rebounds,-130,Hit in 5 of his last 5 games vs BRO,100%
Josh Giddey,BRO,Over 5.5 Rebounds,-130,Hit in 6 of his last 6 home games,100%
Nikola Vučević,BRO,Under 1.5 STL+BLK,-106,Hit in 4 of his last 4 games,100%
Coby White,BRO,Over 17.5 Points,-118,Hit in 4 of his last 4 games vs BRO,100%
Coby White,BRO,Under 1.5 STL+BLK,-194,Hit in 7 of his last 7 games vs BRO,100%
Coby White,BRO,Over 3.5 Assists,-138,Hit in 7 of his last 7 home games,100%
Zach LaVine,BRO,Under 0.5 Blocks,-284,Hit in 7 of his last 7 games,100%
Zach LaVine,BRO,Under 2.5 Turnovers,-174,Hit in 4 of his last 4 games,100%
Zach LaVine,BRO,Under 2.5 Turnovers,-174,Hit in 4 of his last 4 games vs BRO,100%
Ayo Dosunmu,BRO,Under 0.5 Blocks,-174,Hit in 5 of his last 5 games vs BRO,100%
Ayo Dosunmu,BRO,Under 7.5 REB+AST,-128,Hit in 4 of his last 4 games,100%
Ayo Dosunmu,BRO,Over 3.5 Assists,-130,Hit in 5 of his last 5 home games,100%
Ayo Dosunmu,BRO,Under 1.5 STL+BLK,-166,Hit in 5 of his last 5 games vs BRO,100%
Nic Claxton,CHI,Over 2.5 Assists,-140,Hit in 6 of his last 6 away games,100%
Nic Claxton,CHI,Under 23.5 PTS+REB,-118,Hit in 11 of his last 11 games,100%
Nic Claxton,CHI,Under 26.5 P+A+R,-113,Hit in 11 of his last 11 games,100%
Nic Claxton,CHI,Under 1.5 Turnovers,-137,Hit in 4 of his last 4 games vs CHI,100%
Nic Claxton,CHI,Under 9.5 Rebounds,108,Hit in 6 of his last 6 games,100%
Nic Claxton,CHI,Under 13.5 REB+AST,-130,Hit in 6 of his last 6 games,100%
Nic Claxton,CHI,Under 16.5 PTS+AST,-122,Hit in 11 of his last 11 games,100%
Nic Claxton,CHI,Under 16.5 PTS+AST,-122,Hit in 5 of his last 5 games vs CHI,100%
Cameron Johnson,CHI,Under 3.5 3PTM,-106,Hit in 5 of his last 5 games,100%
Cameron Johnson,CHI,Over 0.5 Steals,-214,Hit in 4 of his last 4 away games,100%
Dorian Finney-Smith,CHI,Over 0.5 Blocks,-117,Hit in 4 of his last 4 games vs CHI,100%
Dorian Finney-Smith,CHI,Under 1.5 STL+BLK,-113,Hit in 8 of his last 8 games,100%
Dorian Finney-Smith,CHI,Under 6.5 REB+AST,100,Hit in 4 of his last 4 games,100%
Dorian Finney-Smith,CHI,Under 6.5 REB+AST,100,Hit in 4 of his last 4 games vs CHI,100%
Jalen Wilson,CHI,Under 1.5 Turnovers,-224,Hit in 5 of his last 5 games,100%
Dennis Schröder,CHI,Under 7.5 Assists,100,Hit in 4 of his last 4 games,100%
Julius Randle,LAL,Over 2.5 Turnovers,-142,Hit in 5 of his last 5 home games,100%
Julius Randle,LAL,Over 10.5 REB+AST,-130,Hit in 4 of his last 4 games vs LAL,100%
Julius Randle,LAL,Over 6.5 Rebounds,-125,Hit in 4 of his last 4 games vs LAL,100%
Julius Randle,LAL,Under 1.5 3PTM,-111,Hit in 5 of his last 5 games,100%
Rudy Gobert,LAL,Over 22.5 PTS+REB,-104,Hit in 7 of his last 7 games vs LAL,100%
Rudy Gobert,LAL,Over 23.5 P+A+R,-125,Hit in 7 of his last 7 games vs LAL,100%
Rudy Gobert,LAL,Under 12.5 PTS+AST,-137,Hit in 4 of his last 4 games,100%
Rudy Gobert,LAL,Under 10.5 Points,-128,Hit in 4 of his last 4 games,100%
Rudy Gobert,LAL,Over 11.5 Rebounds,-115,Hit in 4 of his last 4 games vs LAL,100%
Rudy Gobert,LAL,Over 0.5 Double Double,115,Hit in 7 of his last 7 games vs LAL,100%
Rudy Gobert,LAL,Over 1.5 Assists,-148,Hit in 4 of his last 4 home games,100%
Mike Conley,LAL,Over 2.5 Rebounds,-154,Hit in 4 of his last 4 games vs LAL,100%
Mike Conley,LAL,Over 1.5 Steals,150,Hit in 6 of his last 6 games,100%
Mike Conley,LAL,Over 1.5 Steals,150,Hit in 4 of his last 4 home games,100%
Mike Conley,LAL,Over 1.5 STL+BLK,-113,Hit in 6 of his last 6 games,100%
Mike Conley,LAL,Over 1.5 STL+BLK,-113,Hit in 4 of his last 4 home games,100%
Naz Reid,LAL,Over 0.5 Turnovers,-234,Hit in 6 of his last 6 games,100%
