Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Jordan Clarkson,VS DAL,Under 1.5 3PTM,142,Hit in 5 of his last 5 games vs DAL,100%
Jordan Clarkson,VS DAL,Over 3.5 Rebounds,102,Hit in 6 of his last 6 games vs DAL,100%
Jordan Clarkson,VS DAL,Over 1.5 Turnovers,-194,Hit in 6 of his last 6 games vs DAL,100%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 8 of his last 8 home games,100%
James Collins,VS DAL,Over 1.5 Turnovers,-184,Hit in 10 of his last 10 games,100%
James Collins,VS DAL,Over 1.5 Turnovers,-184,Hit in 5 of his last 5 home games,100%
James Collins,VS DAL,Over 1.5 STL+BLK,-179,Hit in 8 of his last 8 home games,100%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Keyonte George,VS DAL,Under 2.5 3PTM,-188,Hit in 5 of his last 5 games vs DAL,100%
Lauri Markkanen,VS DAL,Under 1.5 Turnovers,-123,Hit in 4 of his last 4 games vs DAL,100%
Lauri Markkanen,VS DAL,Under 7.5 Rebounds,-113,Hit in 4 of his last 4 games,100%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Lauri Markkanen,VS DAL,Under 2.5 Assists,-174,Hit in 8 of his last 8 games vs DAL,100%
C.J. Williams,VS DAL,Over 0.5 STL+BLK,-135,Hit in 4 of his last 4 games,100%
C.J. Williams,VS DAL,Over 0.5 Turnovers,-115,Hit in 5 of his last 5 home games,100%
C.J. Williams,VS DAL,Over 1.5 Assists,120,Hit in 4 of his last 4 home games,100%
Kevin Thompson,UTA,Over 17.5 PTS+AST,-121,Hit in 7 of his last 7 games vs UTA,100%
Kevin Thompson,UTA,Under 0.5 Blocks,-354,Hit in 5 of his last 5 games,100%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Kevin Thompson,UTA,Over 3.5 Rebounds,124,Hit in 4 of his last 4 games,100%
Kevin Thompson,UTA,Under 0.5 Steals,114,Hit in 6 of his last 6 games,100%
Kevin Thompson,UTA,Over 5.5 REB+AST,-104,Hit in 4 of his last 4 games,100%
Kevin Thompson,UTA,Over 5.5 REB+AST,-104,Hit in 5 of his last 5 games vs UTA,100%
Kevin Thompson,UTA,Under 1.5 Turnovers,-244,Hit in 5 of his last 5 games vs UTA,100%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Kevin Thompson,UTA,Over 1.5 Assists,-154,Hit in 6 of his last 6 games vs UTA,100%
Kevin Thompson,UTA,Under 0.5 STL+BLK,172,Hit in 5 of his last 5 games,100%
Kevin Thompson,UTA,Over 19.5 PTS+REB,-115,Hit in 7 of his last 7 games vs UTA,100%
Kevin Thompson,UTA,Over 3.5 3PTM,110,Hit in 4 of his last 4 games vs UTA,100%
Kevin Thompson,UTA,Over 21.5 P+A+R,-106,Hit in 7 of his last 7 games vs UTA,100%
Daniel Gafford,UTA,Over 0.5 Assists,-224,Hit in 4 of his last 4 away games,100%
Daniel Gafford,UTA,Over 18.5 P+A+R,-127,Hit in 4 of his last 4 games,100%
Daniel Gafford,UTA,Over 18.5 P+A+R,-127,Hit in 4 of his last 4 away games,100%
Daniel Gafford,UTA,Over 10.5 Points,-122,Hit in 4 of his last 4 games,100%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Daniel Gafford,UTA,Over 6.5 Rebounds,-146,Hit in 4 of his last 4 games vs UTA,100%
Daniel Gafford,UTA,Over 11.5 PTS+AST,-121,Hit in 4 of his last 4 games,100%
Naji Marshall,UTA,Under 2.5 Assists,-135,Hit in 4 of his last 4 games,100%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Naji Marshall,UTA,Over 0.5 Turnovers,-179,Hit in 4 of his last 4 games vs UTA,100%
Naji Marshall,UTA,Under 0.5 Blocks,-284,Hit in 6 of his last 6 games vs UTA,100%
James Collins,VS DAL,Under 1.5 Blocks,-265,Hit in 10 of his last 10 games,100%
James Collins,VS DAL,Under 1.5 Blocks,-265,Hit in 5 of his last 5 games vs DAL,100%
Lauri Markkanen,VS DAL,Under 31.5 P+A+R,-125,Hit in 6 of his last 6 games,100%
Kevin Thompson,UTA,Over 16.5 Points,-104,Hit in 7 of his last 7 games vs UTA,100%
Daniel Gafford,UTA,Over 18.5 PTS+REB,-106,Hit in 4 of his last 4 games,100%
D. Lively,UTA,Under 1.5 Blocks,-149,Hit in 4 of his last 4 games,100%
D. Lively,UTA,Over 0.5 Turnovers,-217,Hit in 4 of his last 4 games,100%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
D. Lively,UTA,Over 0.5 Turnovers,-217,Hit in 7 of his last 7 away games,100%
Collin Sexton,VS DAL,Over 22.5 P+A+R,-120,Hit in 4 of his last 4 games,100%
Lauri Markkanen,VS DAL,Under 27.5 PTS+REB,-106,Hit in 6 of his last 6 games,100%
Lauri Markkanen,VS DAL,Under 10.5 REB+AST,-142,Hit in 7 of his last 8 games vs DAL,88%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Lauri Markkanen,VS DAL,Under 7.5 Rebounds,-113,Hit in 7 of his last 8 games vs DAL,88%
Luka Dončić,UTA,Under 0.5 Blocks,-204,Hit in 7 of his last 8 games,88%
Kyrie Irving,UTA,Under 0.5 Blocks,-314,Hit in 7 of his last 8 games,88%
Jordan Clarkson,VS DAL,Under 4.5 Assists,-146,Hit in 6 of his last 7 games,86%
Lauri Markkanen,VS DAL,Over 0.5 Steals,-169,Hit in 6 of his last 7 games vs DAL,86%
Luka Dončić,UTA,Over 3.5 Turnovers,-104,Hit in 6 of his last 7 games vs UTA,86%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Keyonte George,VS DAL,Over 8.5 REB+AST,112,Hit in 6 of his last 7 games,86%
Lauri Markkanen,VS DAL,Over 1.5 STL+BLK,178,Hit in 6 of his last 7 games vs DAL,86%
Collin Sexton,VS DAL,Over 15.5 Points,-115,Hit in 17 of his last 20 home games,85%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
James Collins,VS DAL,Over 1.5 STL+BLK,-179,Hit in 11 of his last 13 games,85%
Keyonte George,VS DAL,Over 2.5 Turnovers,108,Hit in 11 of his last 13 home games,85%
Kevin Thompson,UTA,Under 1.5 Turnovers,-244,Hit in 11 of his last 13 games,85%
Jordan Clarkson,VS DAL,Over 7.5 REB+AST,-128,Hit in 5 of his last 6 games vs DAL,83%
James Collins,VS DAL,Under 10.5 Rebounds,-140,Hit in 5 of his last 6 games vs DAL,83%
James Collins,VS DAL,Over 1.5 Assists,-174,Hit in 5 of his last 6 games,83%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
James Collins,VS DAL,Under 12.5 REB+AST,-135,Hit in 5 of his last 6 games vs DAL,83%
James Collins,VS DAL,Under 30.5 P+A+R,-125,Hit in 5 of his last 6 games vs DAL,83%
Keyonte George,VS DAL,Under 0.5 STL+BLK,108,Hit in 5 of his last 6 games,83%
Keyonte George,VS DAL,Under 0.5 Steals,-135,Hit in 5 of his last 6 games,83%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Collin Sexton,VS DAL,Over 0.5 STL+BLK,-254,Hit in 5 of his last 6 games,83%
C.J. Williams,VS DAL,Under 0.5 3PTM,-179,Hit in 5 of his last 6 games,83%
Kevin Thompson,UTA,Over 1.5 Assists,-154,Hit in 5 of his last 6 games,83%
Naji Marshall,UTA,Under 0.5 Blocks,-284,Hit in 5 of his last 6 games,83%
Luka Dončić,UTA,Over 8.5 Rebounds,-139,Hit in 5 of his last 6 games vs UTA,83%
Keyonte George,VS DAL,Over 8.5 REB+AST,112,Hit in 5 of his last 6 home games,83%
Luka Dončić,UTA,Over 38.5 PTS+REB,-125,Hit in 10 of his last 12 away games,83%
Lauri Markkanen,VS DAL,Under 23.5 PTS+AST,-129,Hit in 5 of his last 6 games,83%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Lauri Markkanen,VS DAL,Under 19.5 Points,-102,Hit in 5 of his last 6 games,83%
Daniel Gafford,UTA,Under 2.5 STL+BLK,-160,Hit in 14 of his last 17 games,82%
Collin Sexton,VS DAL,Over 1.5 Turnovers,-154,Hit in 13 of his last 16 games,81%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Jordan Clarkson,VS DAL,Over 18.5 PTS+REB,-113,Hit in 4 of his last 5 games,80%
James Collins,VS DAL,Under 10.5 Rebounds,-140,Hit in 8 of his last 10 games,80%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 4 of his last 5 games vs DAL,80%
James Collins,VS DAL,Under 20.5 PTS+AST,-127,Hit in 8 of his last 10 games,80%
James Collins,VS DAL,Under 20.5 PTS+AST,-127,Hit in 4 of his last 5 games vs DAL,80%
James Collins,VS DAL,Under 30.5 P+A+R,-125,Hit in 8 of his last 10 games,80%
Keyonte George,VS DAL,Over 2.5 Rebounds,-138,Hit in 4 of his last 5 games vs DAL,80%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Keyonte George,VS DAL,Over 2.5 Turnovers,108,Hit in 4 of his last 5 games vs DAL,80%
Lauri Markkanen,VS DAL,Over 2.5 3PTM,-102,Hit in 4 of his last 5 games vs DAL,80%
Collin Sexton,VS DAL,Over 18.5 PTS+REB,-111,Hit in 12 of his last 15 home games,80%
Collin Sexton,VS DAL,Over 2.5 Rebounds,-125,Hit in 4 of his last 5 games vs DAL,80%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
C.J. Williams,VS DAL,Over 0.5 Turnovers,-115,Hit in 8 of his last 10 games,80%
C.J. Williams,VS DAL,Under 2.5 Rebounds,-157,Hit in 4 of his last 5 games,80%
C.J. Williams,VS DAL,Under 3.5 REB+AST,-109,Hit in 4 of his last 5 games,80%
Kevin Thompson,UTA,Under 0.5 Blocks,-354,Hit in 4 of his last 5 games vs UTA,80%
Kevin Thompson,UTA,Over 3.5 Rebounds,124,Hit in 4 of his last 5 games vs UTA,80%
Kevin Thompson,UTA,Under 0.5 Steals,114,Hit in 4 of his last 5 games vs UTA,80%
Daniel Gafford,UTA,Over 10.5 Points,-122,Hit in 4 of his last 5 games vs UTA,80%
Daniel Gafford,UTA,Over 11.5 PTS+AST,-121,Hit in 4 of his last 5 games vs UTA,80%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
Naji Marshall,UTA,Under 15.5 P+A+R,-131,Hit in 4 of his last 5 games vs UTA,80%
Naji Marshall,UTA,Under 12.5 PTS+REB,-106,Hit in 4 of his last 5 games vs UTA,80%
Naji Marshall,UTA,Over 0.5 3PTM,-174,Hit in 4 of his last 5 games vs UTA,80%
Naji Marshall,UTA,Under 1.5 STL+BLK,-148,Hit in 4 of his last 5 games vs UTA,80%
Luka Dončić,UTA,Over 3.5 Turnovers,-104,Hit in 8 of his last 10 away games,80%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Kyrie Irving,UTA,Over 3.5 Rebounds,-132,Hit in 4 of his last 5 games,80%
Jordan Clarkson,VS DAL,Over 14.5 Points,-122,Hit in 4 of his last 5 games,80%
Collin Sexton,VS DAL,Over 3.5 Assists,-166,Hit in 4 of his last 5 games vs DAL,80%
D. Lively,UTA,Under 17.5 PTS+REB,-111,Hit in 4 of his last 5 games vs UTA,80%
D. Lively,UTA,Under 8.5 Rebounds,-120,Hit in 4 of his last 5 games vs UTA,80%
D. Lively,UTA,Under 18.5 P+A+R,-108,Hit in 4 of his last 5 games vs UTA,80%
Naji Marshall,UTA,Under 1.5 Steals,-235,Hit in 16 of his last 20 games,80%
Naji Marshall,UTA,Under 1.5 Steals,-235,Hit in 4 of his last 5 games vs UTA,80%
James Collins,VS DAL,Under 27.5 PTS+REB,-108,Hit in 8 of his last 10 games,80%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
D. Lively,UTA,Over 0.5 Steals,-130,Hit in 4 of his last 5 games vs UTA,80%
Collin Sexton,VS DAL,Over 6.5 REB+AST,-132,Hit in 4 of his last 5 games vs DAL,80%
Naji Marshall,UTA,Over 7.5 Points,-130,Hit in 4 of his last 5 games,80%
Luka Dončić,UTA,Under 8.5 Assists,-142,Hit in 11 of his last 14 games,79%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Luka Dončić,UTA,Over 8.5 Rebounds,-139,Hit in 7 of his last 9 away games,78%
Collin Sexton,VS DAL,Over 22.5 P+A+R,-120,Hit in 14 of his last 18 home games,78%
Kevin Thompson,UTA,Over 1.5 Assists,-154,Hit in 10 of his last 13 away games,77%
Keyonte George,VS DAL,Under 5.5 Assists,-142,Hit in 13 of his last 17 games,76%
Jordan Clarkson,VS DAL,Under 0.5 Steals,-104,Hit in 3 of his last 4 games vs DAL,75%
Jordan Clarkson,VS DAL,Over 0.5 STL+BLK,-163,Hit in 3 of his last 4 games,75%
James Collins,VS DAL,Over 1.5 Assists,-174,Hit in 3 of his last 4 home games,75%
James Collins,VS DAL,Over 0.5 Double Double,-120,Hit in 3 of his last 4 games,75%
James Collins,VS DAL,Under 17.5 Points,-108,Hit in 3 of his last 4 games vs DAL,75%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
James Collins,VS DAL,Under 12.5 REB+AST,-135,Hit in 12 of his last 16 games,75%
Keyonte George,VS DAL,Under 5.5 Assists,-142,Hit in 3 of his last 4 games vs DAL,75%
Keyonte George,VS DAL,Over 2.5 Rebounds,-138,Hit in 6 of his last 8 home games,75%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
Keyonte George,VS DAL,Over 16.5 PTS+REB,-118,Hit in 3 of his last 4 games vs DAL,75%
Keyonte George,VS DAL,Over 13.5 Points,-120,Hit in 3 of his last 4 games vs DAL,75%
Lauri Markkanen,VS DAL,Under 10.5 REB+AST,-142,Hit in 3 of his last 4 games,75%
Collin Sexton,VS DAL,Over 1.5 3PTM,118,Hit in 3 of his last 4 games,75%
Collin Sexton,VS DAL,Over 18.5 PTS+REB,-111,Hit in 3 of his last 4 games,75%
Collin Sexton,VS DAL,Under 0.5 Steals,118,Hit in 3 of his last 4 games vs DAL,75%
Collin Sexton,VS DAL,Over 1.5 Turnovers,-154,Hit in 6 of his last 8 home games,75%
James Collins,VS DAL,Over 0.5 Steals,-194,Hit in 11 of his last 13 games,85%
C.J. Williams,VS DAL,Over 0.5 STL+BLK,-135,Hit in 3 of his last 4 home games,75%
C.J. Williams,VS DAL,Over 0.5 Steals,123,Hit in 3 of his last 4 games,75%
C.J. Williams,VS DAL,Over 0.5 Steals,123,Hit in 3 of his last 4 home games,75%
Daniel Gafford,UTA,Over 0.5 Turnovers,-184,Hit in 3 of his last 4 away games,75%
Jordan Clarkson,VS DAL,Over 19.5 PTS+AST,-113,Hit in 4 of his last 5 games,80%
