Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Guerschon Yabusele,IND,Under 9.5 REB+AST,-145,Hit in 5 of his last 5 games,100%
Guerschon Yabusele,IND,Under 1.5 3PTM,-200,Hit in 4 of his last 4 games,100%
Pascal Siakam,PHI,Over 2.5 Assists,-172,Hit in 4 of his last 4 games,100%
Pascal Siakam,PHI,Over 10.5 REB+AST,-122,Hit in 4 of his last 4 games vs PHI,100%
Quentin Grimes,IND,Over 2.5 3PTM,-135,Hit in 3 of his last 4 games vs IND,75%
Pascal Siakam,PHI,Over 2.5 Assists,-172,Hit in 11 of his last 11 games vs PHI,100%
Aaron Nesmith,PHI,Over 1.5 Assists,130,Hit in 4 of his last 4 away games,100%
Andre Drummond,IND,Under 10.5 Points,-122,Hit in 4 of his last 4 games,100%
Andre Drummond,IND,Under 21.5 PTS+AST+REB,-140,Hit in 4 of his last 4 games,100%
Tyrese Haliburton,PHI,Over 9.5 Assists,-114,Hit in 7 of his last 7 games,100%
Tyrese Haliburton,PHI,Over 0.5 Double Double,105,Hit in 7 of his last 7 games,100%
Aaron Nesmith,PHI,Over 0.5 Steals,-110,Hit in 5 of his last 5 games,100%
Aaron Wiggins,BOS,Under 18.5 Points,-128,Hit in 4 of his last 4 games vs BOS,100%
Bam Adebayo,BOS,Over 3.5 Assists,-144,Hit in 4 of his last 4 games vs BOS,100%
Bam Adebayo,BOS,Over 0.5 3PTM,-165,Hit in 4 of his last 4 games vs BOS,100%
Tyler Herro,BOS,Under 29.5 PTS+AST,-128,Hit in 4 of his last 4 games vs BOS,100%
Tyler Herro,BOS,Under 5.5 Assists,122,Hit in 4 of his last 4 games vs BOS,100%
Tyler Herro,BOS,Under 22.5 Points,-110,Hit in 4 of his last 4 games vs BOS,100%
Jayson Tatum,MIA,Under 6.5 Assists,-114,Hit in 6 of his last 6 games vs MIA,100%
Jayson Tatum,MIA,Under 1.5 STL+BLK,-135,Hit in 6 of his last 6 games vs MIA,100%
DJ White,MIA,Over 4.5 Assists,-118,Hit in 4 of his last 4 games,100%
Jabari Brown,MIA,Under 4.5 Assists,-140,Hit in 7 of his last 7 games vs MIA,100%
Jabari Brown,MIA,Over 2.5 Turnovers,-110,Hit in 4 of his last 4 away games,100%
Andre Drummond,IND,Under 19.5 PTS+REB,-114,Hit in 4 of his last 4 games,100%
Andre Drummond,IND,Under 11.5 PTS+AST,-115,Hit in 4 of his last 4 games,100%
Quentin Grimes,IND,Under 3.5 Turnovers,-140,Hit in 5 of his last 5 games vs IND,100%
Quentin Grimes,IND,Under 0.5 Blocks,-155,Hit in 4 of his last 4 games vs IND,100%
