Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage,Bet Hit,Actual Value
Quentin Grimes,MIL,Under 27.5 PTS+REB,-118,Hit in 7 of his last 7 games vs MIL,100%,False,33.0
Quentin Grimes,MIL,Under 32.5 PTS+AST+REB,-125,Hit in 7 of his last 7 games vs MIL,100%,False,40.0
Quentin Grimes,MIL,Under 23.5 Points,-132,Hit in 7 of his last 7 games vs MIL,100%,False,30.0
Brook Lopez,PHI,Over 1.5 3PTM,-125,Hit in 3 of his last 4 games vs PHI,75%,True,2.0
Taurean Prince,PHI,Over 9.5 Points,104,Hit in 5 of his last 5 games vs PHI,100%,True,17.0
Quentin Grimes,MIL,Under 4.5 Rebounds,-136,Hit in 5 of his last 6 games,83%,True,3.0
Giannis Antetokounmpo,PHI,Under 43.5 PTS+REB,-118,Hit in 4 of his last 4 games,100%,False,54.0
Brook Lopez,PHI,Over 6.5 Rebounds,122,Hit in 5 of his last 5 games vs PHI,100%,False,3.0
Brook Lopez,PHI,Over 1.5 Blocks,100,Hit in 5 of his last 5 games vs PHI,100%,True,3.0
Ryan Rollins,PHI,Under 15.5 PTS+AST,-114,Hit in 5 of his last 5 games vs PHI,100%,True,15.0
Ryan Rollins,PHI,Under 20.5 PTS+AST+REB,-130,Hit in 5 of his last 5 games vs PHI,100%,True,15.0
Ryan Rollins,PHI,Over 1.5 3PTM,102,Hit in 4 of his last 4 games,100%,True,2.0
Ryan Rollins,PHI,Under 11.5 Points,-128,Hit in 5 of his last 5 games vs PHI,100%,False,14.0
AJ Johnson,ORL,Under 3.5 Rebounds,-128,Hit in 4 of his last 4 games,100%,False,4.0
Paolo Banchero,WAS,Over 12.5 REB+AST,-102,Hit in 6 of his last 6 away games,100%,True,26.0
Paolo Banchero,WAS,Over 4.5 Assists,102,Hit in 5 of his last 5 games vs WAS,100%,True,8.0
Paolo Banchero,WAS,Under 1.5 3PTM,142,Hit in 4 of his last 4 games,100%,False,3.0
Franz Wagner,WAS,Under 29.5 PTS+REB,-118,Hit in 4 of his last 4 games,100%,False,38.0
Ryan Rollins,PHI,Under 8.5 REB+AST,-114,Hit in 5 of his last 5 games vs PHI,100%,True,3.0
Ryan Rollins,PHI,Under 15.5 PTS+REB,-102,Hit in 5 of his last 5 games vs PHI,100%,False,16.0
Ryan Rollins,PHI,Under 3.5 Assists,118,Hit in 5 of his last 5 games vs PHI,100%,True,1.0
Quentin Grimes,MIL,Under 27.5 PTS+AST,-114,Hit in 7 of his last 7 games vs MIL,100%,False,40.0
Quentin Grimes,MIL,Under 1.5 Steals,-158,Hit in 5 of his last 5 games vs MIL,100%,True,1.0
Adem Bona,MIL,Over 2.5 Blocks,154,Hit in 4 of his last 4 games,100%,True,3.0
Taurean Prince,PHI,Under 1.5 Steals,-245,Hit in 5 of his last 5 games,100%,True,1.0
Taurean Prince,PHI,Under 1.5 Steals,-245,Hit in 4 of his last 4 games vs PHI,100%,True,1.0
Giannis Antetokounmpo,PHI,Under 18.5 REB+AST,-102,Hit in 4 of his last 4 games,100%,False,37.0
Giannis Antetokounmpo,PHI,Under 1.5 Steals,-220,Hit in 4 of his last 4 games vs PHI,100%,False,2.0
Cory Joseph,WAS,Under 2.5 Assists,105,Hit in 4 of his last 4 games vs WAS,100%,True,1.0
Quentin Grimes,MIL,Under 0.5 Blocks,-325,Hit in 6 of his last 6 games,100%,True,0.0
Taurean Prince,PHI,Over 10.5 PTS+AST,-130,Hit in 5 of his last 5 games vs PHI,100%,True,18.0
Taurean Prince,PHI,Under 0.5 Blocks,-375,Hit in 4 of his last 4 games vs PHI,100%,True,0.0
Paolo Banchero,WAS,Under 0.5 Blocks,-220,Hit in 5 of his last 5 games,100%,False,1.0
Franz Wagner,WAS,Under 0.5 Blocks,-350,Hit in 6 of his last 6 games,100%,True,0.0
Kentavious Caldwell-Pope,WAS,Under 5.5 REB+AST,-160,Hit in 5 of his last 5 games,100%,False,8.0
Kentavious Caldwell-Pope,WAS,Over 0.5 Turnovers,-122,Hit in 4 of his last 4 games,100%,True,1.0
Giannis Antetokounmpo,PHI,Under 2.5 STL+BLK,-217,Hit in 4 of his last 4 games vs PHI,100%,True,2.0
Franz Wagner,WAS,Over 33.5 PTS+AST+REB,-125,Hit in 7 of his last 7 games vs WAS,100%,True,38.0
Cory Joseph,WAS,Under 5.5 REB+AST,-105,Hit in 4 of his last 4 games vs WAS,100%,True,3.0
Cory Joseph,WAS,Under 2.5 Rebounds,115,Hit in 4 of his last 4 games vs WAS,100%,True,2.0
Anthony Black,WAS,Over 0.5 3PTM,-200,Hit in 7 of his last 7 games vs WAS,100%,False,0.0
