Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
RJ Barrett,BOS,Over 24.5 PTS+AST,-114,Hit in 4 of his last 4 games,100%
RJ Barrett,BOS,Over 24.5 PTS+AST,-114,Hit in 6 of his last 6 games vs BOS,100%
RJ Barrett,BOS,Over 24.5 PTS+AST,-114,Hit in 4 of his last 4 home games,100%
RJ Barrett,BOS,Over 30.5 PTS+AST+REB,-112,Hit in 5 of his last 5 games,100%
RJ Barrett,BOS,Over 30.5 PTS+AST+REB,-112,Hit in 5 of his last 5 home games,100%
TOR,BOS,+11 Spread,-110,Covered in 4 of their last 5 games,80%
RJ Barrett,BOS,Over 1.5 3PTM,-122,Hit in 4 of his last 4 games,100%
RJ Barrett,BOS,Over 1.5 3PTM,-122,Hit in 4 of his last 4 home games,100%
RJ Barrett,BOS,Over 19.5 Points,-130,Hit in 4 of his last 4 games,100%
RJ Barrett,BOS,Over 19.5 Points,-130,Hit in 6 of his last 6 games vs BOS,100%
RJ Barrett,BOS,Over 19.5 Points,-130,Hit in 4 of his last 4 home games,100%
Scottie Barnes,BOS,Over 12.5 REB+AST,-108,Hit in 4 of his last 5 games,80%
Gradey Dick,BOS,Under 3.5 Rebounds,-162,Hit in 4 of his last 4 games vs BOS,100%
Immanuel Quickley,BOS,Under 5.5 Assists,-130,Hit in 4 of his last 4 games vs BOS,100%
J. Poeltl,BOS,Over 11.5 REB+AST,-130,Hit in 5 of his last 5 games vs BOS,100%
J. Poeltl,BOS,Over 19.5 PTS+REB,-125,Hit in 4 of his last 4 games vs BOS,100%
J. Poeltl,BOS,Over 22.5 PTS+AST+REB,-116,Hit in 5 of his last 5 games vs BOS,100%
Jayson Tatum,TOR,Under 25.5 Points,-102,Hit in 5 of his last 5 games vs TOR,100%
Jayson Tatum,TOR,Under 1.5 STL+BLK,105,Hit in 6 of his last 6 games,100%
DJ White,TOR,Over 9.5 REB+AST,102,Hit in 4 of his last 4 games,100%
DJ White,TOR,Under 4.5 Assists,114,Hit in 4 of his last 4 games vs TOR,100%
DJ White,TOR,Over 23.5 PTS+AST+REB,-130,Hit in 5 of his last 5 games,100%
DJ White,TOR,Over 23.5 PTS+AST+REB,-130,Hit in 5 of his last 5 away games,100%
Jabari Brown,TOR,Over 9.5 REB+AST,-130,Hit in 4 of his last 4 games vs TOR,100%
Jabari Brown,TOR,Over 4.5 Assists,116,Hit in 4 of his last 4 away games,100%
Jabari Brown,TOR,Over 5.5 Rebounds,-106,Hit in 4 of his last 4 games vs TOR,100%
Jabari Brown,TOR,Under 1.5 STL+BLK,-125,Hit in 4 of his last 4 games vs TOR,100%
Jayson Tatum,TOR,Under 1.5 Steals,-186,Hit in 6 of his last 6 games,100%
Jayson Tatum,TOR,Under 1.5 Steals,-186,Hit in 8 of his last 8 games vs TOR,100%
Jabari Brown,TOR,Under 1.5 Steals,-186,Hit in 7 of his last 7 games vs TOR,100%
Scottie Barnes,BOS,Over 0.5 Steals,-235,Hit in 4 of his last 4 games vs BOS,100%
RJ Barrett,BOS,Under 2.5 Turnovers,-135,Hit in 6 of his last 6 games vs BOS,100%
DJ White,TOR,Under 0.5 Blocks,150,Hit in 4 of his last 4 games,100%
DJ White,TOR,Under 1.5 STL+BLK,125,Hit in 6 of his last 6 games,100%
RJ Barrett,BOS,Over 25.5 PTS+REB,-125,Hit in 5 of his last 5 games,100%
RJ Barrett,BOS,Over 25.5 PTS+REB,-125,Hit in 6 of his last 6 games vs BOS,100%
RJ Barrett,BOS,Over 25.5 PTS+REB,-125,Hit in 5 of his last 5 home games,100%
Scottie Barnes,BOS,Over 1.5 STL+BLK,-200,Hit in 4 of his last 4 games vs BOS,100%
Gradey Dick,BOS,Over 0.5 Turnovers,-220,Hit in 4 of his last 4 games vs BOS,100%
Gradey Dick,BOS,Under 0.5 Steals,-110,Hit in 4 of his last 4 games vs BOS,100%
Al Horford,TOR,Over 1.5 Assists,-150,Hit in 8 of his last 8 games vs TOR,100%
Al Horford,TOR,Under 0.5 Steals,-105,Hit in 7 of his last 7 games,100%
Ochai Agbaji,BOS,Over 3.5 REB+AST,-135,Hit in 6 of his last 6 games vs BOS,100%
Ochai Agbaji,BOS,Over 0.5 Assists,-190,Hit in 6 of his last 6 games vs BOS,100%
Ochai Agbaji,BOS,Over 2.5 Rebounds,-150,Hit in 5 of his last 5 games vs BOS,100%
Ochai Agbaji,BOS,Under 0.5 Steals,-140,Hit in 6 of his last 6 games vs BOS,100%
Ochai Agbaji,BOS,Over 0.5 STL+BLK,-210,Hit in 7 of his last 7 home games,100%
J. Poeltl,BOS,Over 8.5 Rebounds,-145,Hit in 4 of his last 4 games vs BOS,100%
Payton Pritchard,TOR,Under 4.5 Assists,-160,Hit in 4 of his last 4 games vs TOR,100%
Payton Pritchard,TOR,Under 0.5 Blocks,-325,Hit in 9 of his last 9 games vs TOR,100%
Paolo Banchero,CLE,Under 5.5 Assists,-144,Hit in 8 of his last 8 games vs CLE,100%
Franz Wagner,CLE,Over 5.5 Rebounds,-144,Hit in 6 of his last 6 games,100%
Franz Wagner,CLE,Over 5.5 Rebounds,-144,Hit in 5 of his last 5 home games,100%
W. Carter,CLE,Over 17.5 PTS+REB,-141,Hit in 4 of his last 4 games,100%
W. Carter,CLE,Under 2.5 Assists,-185,Hit in 5 of his last 5 games,100%
W. Carter,CLE,Under 2.5 Assists,-185,Hit in 5 of his last 5 games vs CLE,100%
W. Carter,CLE,Over 20.5 PTS+AST+REB,-120,Hit in 4 of his last 4 games,100%
W. Carter,CLE,Over 7.5 Rebounds,-149,Hit in 4 of his last 4 games,100%
Carmelo Anthony,CLE,Under 3.5 Assists,-128,Hit in 8 of his last 8 games vs CLE,100%
Carmelo Anthony,CLE,Under 3.5 Rebounds,-102,Hit in 6 of his last 6 games vs CLE,100%
Kentavious Caldwell-Pope,CLE,Under 1.5 3PTM,-150,Hit in 7 of his last 7 games,100%
Jarrett Allen,ORL,Over 23.5 PTS+AST+REB,-130,Hit in 4 of his last 4 away games,100%
Davion Mitchell,ORL,Under 5.5 Assists,-136,Hit in 4 of his last 4 games vs ORL,100%
Davion Mitchell,ORL,Under 3.5 3PTM,-154,Hit in 10 of his last 10 games vs ORL,100%
Darius Garland,ORL,Under 6.5 Assists,-125,Hit in 7 of his last 7 games vs ORL,100%
Eric Mobley,ORL,Under 20.5 PTS+AST,-114,Hit in 11 of his last 11 games vs ORL,100%
Eric Mobley,ORL,Over 26.5 PTS+REB,-118,Hit in 7 of his last 7 games,100%
Eric Mobley,ORL,Over 26.5 PTS+REB,-118,Hit in 5 of his last 5 away games,100%
Eric Mobley,ORL,Under 17.5 Points,-125,Hit in 11 of his last 11 games vs ORL,100%
Franz Wagner,CLE,Under 28.5 PTS+AST,-108,Hit in 4 of his last 4 games vs CLE,100%
Franz Wagner,CLE,Under 34.5 PTS+AST+REB,-108,Hit in 4 of his last 4 games vs CLE,100%
Franz Wagner,CLE,Under 1.5 3PTM,116,Hit in 4 of his last 4 games vs CLE,100%
W. Carter,CLE,Over 10.5 REB+AST,-109,Hit in 4 of his last 4 games,100%
Carmelo Anthony,CLE,Under 7.5 REB+AST,-136,Hit in 8 of his last 8 games vs CLE,100%
Carmelo Anthony,CLE,Under 16.5 PTS+REB,-122,Hit in 11 of his last 11 games vs CLE,100%
Carmelo Anthony,CLE,Under 19.5 PTS+AST+REB,-102,Hit in 8 of his last 8 games vs CLE,100%
Carmelo Anthony,CLE,Under 1.5 3PTM,-188,Hit in 13 of his last 13 games vs CLE,100%
Carmelo Anthony,CLE,Under 12.5 Points,-118,Hit in 8 of his last 8 games vs CLE,100%
Jarrett Allen,ORL,Over 12.5 REB+AST,-110,Hit in 4 of his last 4 away games,100%
Darius Garland,ORL,Under 18.5 Points,-102,Hit in 4 of his last 4 games,100%
Eric Mobley,ORL,Over 30.5 PTS+AST+REB,-106,Hit in 7 of his last 7 games,100%
Eric Mobley,ORL,Over 30.5 PTS+AST+REB,-106,Hit in 5 of his last 5 away games,100%
Anthony Black,CLE,Over 2.5 Rebounds,110,Hit in 4 of his last 4 home games,100%
Paolo Banchero,CLE,Over 2.5 Turnovers,-160,Hit in 4 of his last 4 games vs CLE,100%
Paolo Banchero,CLE,Over 0.5 Blocks,-130,Hit in 5 of his last 5 home games,100%
Paolo Banchero,CLE,Under 1.5 STL+BLK,-145,Hit in 6 of his last 6 games,100%
Franz Wagner,CLE,Over 0.5 Steals,-235,Hit in 4 of his last 4 games vs CLE,100%
Carmelo Anthony,CLE,Under 16.5 PTS+AST,-128,Hit in 8 of his last 8 games vs CLE,100%
Jarrett Allen,ORL,Over 0.5 Blocks,-175,Hit in 4 of his last 4 away games,100%
Davion Mitchell,ORL,Under 1.5 Steals,-235,Hit in 4 of his last 4 games,100%
Anthony Black,CLE,Over 4.5 REB+AST,-125,Hit in 4 of his last 4 home games,100%
Anthony Black,CLE,Under 0.5 Blocks,-275,Hit in 5 of his last 5 games vs CLE,100%
Anthony Black,CLE,Under 1.5 STL+BLK,-200,Hit in 5 of his last 5 games vs CLE,100%
Goga Bitadze,CLE,Under 0.5 Steals,-190,Hit in 7 of his last 7 games vs CLE,100%
Goga Bitadze,CLE,Over 1.5 STL+BLK,100,Hit in 5 of his last 5 games,100%
Goga Bitadze,CLE,Over 1.5 STL+BLK,100,Hit in 4 of his last 4 home games,100%
Carmelo Anthony,CLE,Under 1.5 Turnovers,120,Hit in 9 of his last 9 games vs CLE,100%
Carmelo Anthony,CLE,Under 1.5 STL+BLK,-140,Hit in 8 of his last 8 games vs CLE,100%
