Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Jalen Duren,CHI,Over 12.5 Points,-113,Hit in 4 of his last 4 games vs CHI,100%
Jalen Duren,CHI,Over 0.5 Double Double,-135,Hit in 4 of his last 4 games vs CHI,100%
Jalen Duren,CHI,Over 15.5 PTS+AST,100,Hit in 4 of his last 4 games vs CHI,100%
Jalen Duren,CHI,Over 2.5 Assists,-110,Hit in 4 of his last 4 games vs CHI,100%
Jalen Duren,CHI,Over 26.5 PTS+AST+REB,-125,Hit in 4 of his last 4 games vs CHI,100%
Jalen Duren,CHI,Over 12.5 Points,-113,Hit in 6 of his last 8 games,75%
Tim Hardaway,CHI,Under 2.5 3PTM,-213,Hit in 7 of his last 7 games,100%
Cade Cunningham,CHI,Under 6.5 Rebounds,-140,Hit in 5 of his last 5 games,100%
Cade Cunningham,CHI,Under 6.5 Rebounds,-140,Hit in 4 of his last 4 games vs CHI,100%
Terrel Harris,CHI,Under 1.5 3PTM,-174,Hit in 4 of his last 4 games,100%
Terrel Harris,CHI,Under 1.5 3PTM,-174,Hit in 4 of his last 4 games vs CHI,100%
Malik Beasley,CHI,Over 2.5 Rebounds,-120,Hit in 4 of his last 4 games vs CHI,100%
LaMelo Ball,DET,Under 8.5 REB+AST,-130,Hit in 7 of his last 7 games,100%
LaMelo Ball,DET,Under 4.5 Rebounds,-174,Hit in 7 of his last 7 games,100%
Josh Giddey,DET,Under 1.5 3PTM,-156,Hit in 5 of his last 5 games vs DET,100%
Nikola Vučević,DET,Over 23.5 PTS+AST,-116,Hit in 4 of his last 4 games vs DET,100%
Nikola Vučević,DET,Over 30.5 PTS+REB,-135,Hit in 4 of his last 4 games vs DET,100%
Nikola Vučević,DET,Over 34.5 PTS+AST+REB,-120,Hit in 4 of his last 4 games vs DET,100%
Nikola Vučević,DET,Over 19.5 Points,-139,Hit in 4 of his last 4 games vs DET,100%
Ayo Dosunmu,DET,Under 18.5 PTS+AST,-115,Hit in 8 of his last 8 games vs DET,100%
Ayo Dosunmu,DET,Under 17.5 PTS+REB,-125,Hit in 8 of his last 8 games vs DET,100%
Ayo Dosunmu,DET,Under 22.5 PTS+AST+REB,-128,Hit in 10 of his last 10 games,100%
Ayo Dosunmu,DET,Under 22.5 PTS+AST+REB,-128,Hit in 8 of his last 8 games vs DET,100%
Ayo Dosunmu,DET,Over 1.5 3PTM,-142,Hit in 5 of his last 5 games,100%
Ayo Dosunmu,DET,Under 13.5 Points,-113,Hit in 8 of his last 8 games vs DET,100%
Tim Hardaway,CHI,Over 13.5 PTS+REB,-119,Hit in 5 of his last 5 home games,100%
Terrel Harris,CHI,Under 2.5 Assists,-175,Hit in 5 of his last 5 games,100%
Terrel Harris,CHI,Over 0.5 Blocks,-120,Hit in 5 of his last 5 home games,100%
Isaiah Stewart,CHI,Over 9.5 PTS+REB,-125,Hit in 6 of his last 6 games vs CHI,100%
Isaiah Stewart,CHI,Over 4.5 Points,-115,Hit in 6 of his last 6 games vs CHI,100%
Isaiah Stewart,CHI,Under 1.5 STL+BLK,-130,Hit in 5 of his last 5 games vs CHI,100%
Patrick Williams,DET,Under 14.5 PTS+REB,-111,Hit in 5 of his last 5 games vs DET,100%
Patrick Williams,DET,Under 10.5 Points,-122,Hit in 4 of his last 4 games vs DET,100%
Patrick Williams,DET,Under 12.5 PTS+AST,-120,Hit in 7 of his last 7 games vs DET,100%
Patrick Williams,DET,Under 16.5 PTS+AST+REB,-120,Hit in 5 of his last 5 games vs DET,100%
Cade Cunningham,CHI,Under 34.5 PTS+REB,-104,Hit in 4 of his last 4 games vs CHI,100%
Isaiah Stewart,CHI,Over 11.5 PTS+AST+REB,-105,Hit in 6 of his last 6 games vs CHI,100%
Simone Fontecchio,CHI,Over 0.5 Assists,-190,Hit in 5 of his last 5 games,100%
Nikola Vučević,DET,Over 0.5 Blocks,-114,Hit in 4 of his last 4 games vs DET,100%
Amen Thompson,CHI,Under 0.5 3PTM,-275,Hit in 8 of his last 8 games,100%
Terrel Harris,CHI,Under 0.5 Steals,140,Hit in 5 of his last 5 games vs CHI,100%
Isaiah Stewart,CHI,Over 6.5 REB+AST,105,Hit in 6 of his last 6 games vs CHI,100%
Isaiah Stewart,CHI,Over 6.5 PTS+AST,105,Hit in 6 of his last 6 games vs CHI,100%
Isaiah Stewart,CHI,Over 0.5 Turnovers,100,Hit in 4 of his last 4 games vs CHI,100%
Isaiah Stewart,CHI,Under 0.5 Steals,-220,Hit in 5 of his last 5 games,100%
Malik Beasley,CHI,Over 4.5 REB+AST,125,Hit in 4 of his last 4 games vs CHI,100%
Malik Beasley,CHI,Over 1.5 Assists,110,Hit in 4 of his last 4 games vs CHI,100%
Malik Beasley,CHI,Over 0.5 Steals,-165,Hit in 4 of his last 4 games vs CHI,100%
Malik Beasley,CHI,Over 0.5 STL+BLK,-210,Hit in 4 of his last 4 games vs CHI,100%
Patrick Williams,DET,Over 6.5 REB+AST,105,Hit in 4 of his last 4 games,100%
Patrick Williams,DET,Under 1.5 Turnovers,-225,Hit in 7 of his last 7 games vs DET,100%
Coby White,DET,Under 1.5 STL+BLK,-235,Hit in 4 of his last 4 games,100%
Matas Buzelis,DET,Under 0.5 Steals,-200,Hit in 6 of his last 6 games,100%
Jalen Duren,CHI,Over 23.5 PTS+REB,-122,Hit in 4 of his last 4 games vs CHI,100%
Isaiah Stewart,CHI,Under 1.5 Blocks,-250,Hit in 6 of his last 6 games vs CHI,100%
Davion Mitchell,DAL,Over 4.5 Assists,-122,Hit in 5 of his last 5 games,100%
Davion Mitchell,DAL,Over 4.5 Assists,-122,Hit in 4 of his last 4 home games,100%
Darius Garland,DAL,Over 32.5 PTS+AST+REB,-108,Hit in 5 of his last 5 games,100%
Darius Garland,DAL,Under 22.5 Points,-130,Hit in 4 of his last 4 games vs DAL,100%
Eric Mobley,DAL,Under 10.5 Rebounds,-122,Hit in 4 of his last 4 games vs DAL,100%
Daniel Gafford,CLE,Over 17.5 PTS+AST,-125,Hit in 4 of his last 4 games,100%
