Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Jalen Duren,SAC,Over 0.5 Double Double,-135,Hit in 4 of his last 4 games,100%
Jalen Duren,SAC,Over 0.5 Double Double,-135,Hit in 4 of his last 4 games vs SAC,100%
Amen Thompson,SAC,Over 12.5 Points,-122,Hit in 6 of his last 6 games,100%
Domantas Sabonis,DET,Over 18.5 REB+AST,-108,Hit in 4 of his last 4 games vs DET,100%
Domantas Sabonis,DET,Over 24.5 PTS+AST,-122,Hit in 4 of his last 4 games,100%
Bam Adebayo,PHI,Over 0.5 3PTM,-210,Hit in 10 of his last 10 games,100%
Domantas Sabonis,DET,Over 31.5 PTS+REB,-108,Hit in 4 of his last 4 games,100%
Domantas Sabonis,DET,Over 5.5 Assists,-136,Hit in 4 of his last 4 games vs DET,100%
Domantas Sabonis,DET,Over 37.5 PTS+AST+REB,-112,Hit in 4 of his last 4 games,100%
Domantas Sabonis,DET,Over 0.5 Double Double,-360,Hit in 4 of his last 4 games vs DET,100%
Zach LaVine,DET,Under 3.5 Assists,-172,Hit in 6 of his last 6 games,100%
Tim Hardaway,SAC,Over 2.5 Rebounds,-179,Hit in 4 of his last 4 games,100%
Terrel Harris,SAC,Over 1.5 Assists,-155,Hit in 5 of his last 5 games,100%
Terrel Harris,SAC,Over 20.5 PTS+AST+REB,-105,Hit in 6 of his last 6 home games,100%
Malik Beasley,SAC,Over 1.5 Assists,-110,Hit in 5 of his last 5 games vs SAC,100%
Domantas Sabonis,DET,Under 0.5 Blocks,-250,Hit in 6 of his last 6 games,100%
DeMar DeRozan,DET,Under 1.5 Turnovers,-122,Hit in 6 of his last 6 games vs DET,100%
Domantas Sabonis,DET,Over 24.5 PTS+AST,-122,Hit in 4 of his last 4 away games,100%
Domantas Sabonis,DET,Over 31.5 PTS+REB,-108,Hit in 4 of his last 4 away games,100%
Domantas Sabonis,DET,Over 37.5 PTS+AST+REB,-112,Hit in 4 of his last 4 away games,100%
Terrel Harris,SAC,Over 14.5 PTS+AST,-120,Hit in 4 of his last 4 home games,100%
Terrel Harris,SAC,Under 0.5 Blocks,-160,Hit in 4 of his last 4 games vs SAC,100%
Malik Beasley,SAC,Over 2.5 Rebounds,-160,Hit in 4 of his last 4 home games,100%
Terrel Harris,SAC,Over 12.5 Points,-120,Hit in 4 of his last 4 home games,100%
Amen Thompson,SAC,Under 0.5 3PTM,-400,Hit in 5 of his last 5 games,100%
Malik Monk,DET,Under 21.5 PTS+AST+REB,-115,Hit in 6 of his last 6 games,100%
Jonas Valančiūnas,DET,Over 8.5 PTS+REB,-137,Hit in 5 of his last 5 games vs DET,100%
Jonas Valančiūnas,DET,Over 4.5 Rebounds,115,Hit in 5 of his last 5 games vs DET,100%
Jonas Valančiūnas,DET,Over 4.5 Points,-133,Hit in 5 of his last 5 games vs DET,100%
Bam Adebayo,PHI,Over 25.5 PTS+AST,-114,Hit in 4 of his last 4 games,100%
Bam Adebayo,PHI,Over 4.5 Assists,-110,Hit in 5 of his last 5 games,100%
Bam Adebayo,PHI,Over 20.5 Points,-125,Hit in 4 of his last 4 games,100%
Tyler Herro,PHI,Over 30.5 PTS+AST,-125,Hit in 5 of his last 5 games,100%
Tyler Herro,PHI,Over 30.5 PTS+REB,-110,Hit in 5 of his last 5 games,100%
Tyler Herro,PHI,Over 36.5 PTS+AST+REB,-118,Hit in 5 of his last 5 games,100%
Tyler Herro,PHI,Over 24.5 Points,-118,Hit in 5 of his last 5 games,100%
Quentin Grimes,MIA,Under 4.5 Assists,-132,Hit in 5 of his last 5 games vs MIA,100%
Quentin Grimes,MIA,Under 4.5 Rebounds,-152,Hit in 5 of his last 5 games,100%
Quentin Grimes,MIA,Over 23.5 Points,100,Hit in 8 of his last 8 away games,100%
L. Walker,MIA,Under 3.5 Rebounds,-132,Hit in 6 of his last 6 games vs MIA,100%
L. Walker,MIA,Over 2.5 Assists,-185,Hit in 4 of his last 4 games,100%
James Edwards,MIA,Under 1.5 3PTM,-148,Hit in 4 of his last 4 games,100%
Jackie Butler,MIA,Under 2.5 Rebounds,100,Hit in 5 of his last 5 games,100%
Bam Adebayo,PHI,Over 0.5 3PTM,-210,Hit in 7 of his last 7 home games,100%
Tyler Herro,PHI,Under 0.5 Blocks,-225,Hit in 5 of his last 5 games vs PHI,100%
Quentin Grimes,MIA,Over 27.5 PTS+AST,-112,Hit in 8 of his last 8 away games,100%
Quentin Grimes,MIA,Under 27.5 PTS+REB,-122,Hit in 10 of his last 10 games vs MIA,100%
Quentin Grimes,MIA,Over 31.5 PTS+AST+REB,-122,Hit in 8 of his last 8 away games,100%
Quentin Grimes,MIA,Under 3.5 3PTM,-178,Hit in 10 of his last 10 games vs MIA,100%
