Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage,Bet Hit,Actual Value
Andrew Nembhard,MIL,Under 4.5 Assists,-104,Hit in 4 of his last 4 games vs MIL,100%,False,5.0
Andrew Nembhard,MIL,Under 1.5 3PTM,-230,Hit in 13 of his last 13 games,100%,True,1.0
Tyrese Haliburton,MIL,Under 1.5 Steals,-186,Hit in 4 of his last 4 games,100%,True,0.0
Myles Turner,MIL,Over 6.5 Rebounds,-136,Hit in 8 of his last 8 home games,100%,False,5.0
Myles Turner,MIL,Over 1.5 Blocks,-146,Hit in 4 of his last 4 home games,100%,True,4.0
Myles Turner,MIL,Under 1.5 Assists,-190,Hit in 5 of his last 5 games,100%,False,2.0
Pascal Siakam,MIL,Over 23.5 PTS+AST,-108,Hit in 4 of his last 4 games vs MIL,100%,True,33.0
Pascal Siakam,MIL,Over 30.5 PTS+AST+REB,-125,Hit in 4 of his last 4 games vs MIL,100%,True,33.0
Pascal Siakam,MIL,Over 19.5 Points,-125,Hit in 4 of his last 4 games vs MIL,100%,True,31.0
Bennedict Mathurin,MIL,Over 15.5 PTS+REB,-125,Hit in 10 of his last 10 home games,100%,True,20.0
Bennedict Mathurin,MIL,Under 1.5 3PTM,-215,Hit in 6 of his last 6 games,100%,True,1.0
Bennedict Mathurin,MIL,Over 12.5 Points,-106,Hit in 5 of his last 5 home games,100%,True,15.0
Aaron Nesmith,MIL,Over 0.5 Assists,-160,Hit in 9 of his last 9 games vs MIL,100%,False,0.0
Obi Toppin,MIL,Under 12.5 PTS+REB,-125,Hit in 4 of his last 4 games vs MIL,100%,True,9.0
Obi Toppin,MIL,Over 3.5 Rebounds,-113,Hit in 6 of his last 6 home games,100%,False,1.0
Obi Toppin,MIL,Under 8.5 Points,-118,Hit in 4 of his last 4 games vs MIL,100%,True,8.0
Obi Toppin,MIL,Over 1.5 Assists,110,Hit in 4 of his last 4 home games,100%,False,1.0
Obi Toppin,MIL,Under 14.5 PTS+AST+REB,-120,Hit in 4 of his last 4 games vs MIL,100%,True,9.0
Taurean Prince,IND,Over 9.5 PTS+REB,-115,Hit in 4 of his last 4 games vs IND,100%,False,2.0
Taurean Prince,IND,Over 6.5 Points,100,Hit in 4 of his last 4 games vs IND,100%,False,0.0
Taurean Prince,IND,Over 8.5 PTS+AST,-118,Hit in 4 of his last 4 games vs IND,100%,False,3.0
Taurean Prince,IND,Over 11.5 PTS+AST+REB,-125,Hit in 4 of his last 4 games vs IND,100%,False,3.0
Giannis Antetokounmpo,IND,Under 1.5 Steals,-270,Hit in 4 of his last 4 games,100%,True,1.0
Giannis Antetokounmpo,IND,Under 0.5 3PTM,-175,Hit in 4 of his last 4 games vs IND,100%,True,0.0
Giannis Antetokounmpo,IND,Over 0.5 Blocks,-190,Hit in 4 of his last 4 games,100%,True,2.0
Brook Lopez,IND,Over 16.5 PTS+REB,-102,Hit in 17 of his last 17 away games,100%,False,13.0
Brook Lopez,IND,Over 11.5 Points,-113,Hit in 7 of his last 7 away games,100%,False,9.0
Brook Lopez,IND,Under 1.5 Blocks,-154,Hit in 5 of his last 5 games vs IND,100%,True,0.0
Brook Lopez,IND,Over 13.5 PTS+AST,-115,Hit in 7 of his last 7 away games,100%,False,9.0
Brook Lopez,IND,Over 18.5 PTS+AST+REB,-115,Hit in 7 of his last 7 away games,100%,False,9.0
Ryan Rollins,IND,Under 0.5 Blocks,-375,Hit in 4 of his last 4 games,100%,True,0.0
Bobby Portis,IND,Over 21.5 PTS+REB,-120,Hit in 4 of his last 4 games vs IND,100%,False,12.0
Bobby Portis,IND,Over 13.5 Points,-108,Hit in 4 of his last 4 games vs IND,100%,False,4.0
Kyle Kuzma,IND,Under 4.5 Rebounds,-148,Hit in 8 of his last 8 games,100%,True,0.0
Kyle Kuzma,IND,Under 1.5 3PTM,-156,Hit in 4 of his last 4 games vs IND,100%,True,0.0
Kyle Kuzma,IND,Under 12.5 Points,-111,Hit in 4 of his last 4 games vs IND,100%,True,0.0
Kyle Kuzma,IND,Under 6.5 REB+AST,110,Hit in 4 of his last 4 games,100%,True,0.0
Kyle Kuzma,IND,Under 2.5 Assists,-175,Hit in 4 of his last 4 games,100%,True,0.0
Kyle Kuzma,IND,Under 0.5 Blocks,-375,Hit in 5 of his last 5 games vs IND,100%,True,0.0
Bobby Portis,IND,Over 23.5 PTS+AST+REB,-118,Hit in 4 of his last 4 games vs IND,100%,False,4.0
Jamal Murray,LAC,Over 8.5 REB+AST,-136,Hit in 5 of his last 5 games,100%,True,16.0
Jamal Murray,LAC,Over 8.5 REB+AST,-136,Hit in 9 of his last 9 home games,100%,True,16.0
Jamal Murray,LAC,Over 5.5 Assists,118,Hit in 4 of his last 4 home games,100%,True,7.0
Jamal Murray,LAC,Over 3.5 Rebounds,-114,Hit in 10 of his last 10 games,100%,True,9.0
Jamal Murray,LAC,Over 3.5 Rebounds,-114,Hit in 6 of his last 6 home games,100%,True,9.0
Russell Westbrook,LAC,Over 13.5 PTS+AST,-102,Hit in 5 of his last 5 home games,100%,True,22.0
Russell Westbrook,LAC,Over 12.5 PTS+REB,-130,Hit in 5 of his last 5 home games,100%,True,27.0
Russell Westbrook,LAC,Over 17.5 PTS+AST+REB,-102,Hit in 5 of his last 5 home games,100%,True,22.0
Russell Westbrook,LAC,Over 8.5 Points,-136,Hit in 5 of his last 5 home games,100%,True,19.0
Aaron Gordon,LAC,Under 1.5 3PTM,-152,Hit in 7 of his last 7 games vs LAC,100%,True,1.0
Ivica Zubac,DEN,Over 2.5 Assists,-162,Hit in 4 of his last 4 games vs DEN,100%,False,2.0
Ivica Zubac,DEN,Under 1.5 Blocks,-245,Hit in 8 of his last 8 games,100%,True,0.0
Ivica Zubac,DEN,Under 1.5 Blocks,-245,Hit in 11 of his last 11 games vs DEN,100%,True,0.0
Ivica Zubac,DEN,Over 0.5 Double Double,-320,Hit in 15 of his last 15 games,100%,True,1.0
Kris Dunn,DEN,Under 2.5 Rebounds,106,Hit in 5 of his last 5 games,100%,False,3.0
James Harden,DEN,Over 31.5 PTS+AST,-112,Hit in 5 of his last 5 games,100%,True,51.0
James Harden,DEN,Over 27.5 PTS+REB,-108,Hit in 5 of his last 5 games,100%,True,46.0
James Harden,DEN,Over 9.5 Assists,-102,Hit in 5 of his last 5 games,100%,True,11.0
James Harden,DEN,Over 36.5 PTS+AST+REB,-118,Hit in 5 of his last 5 games,100%,True,51.0
James Harden,DEN,Over 0.5 Double Double,-105,Hit in 5 of his last 5 games,100%,True,1.0
James Harden,DEN,Over 0.5 Blocks,-120,Hit in 4 of his last 4 away games,100%,True,1.0
Kawhi Leonard,DEN,Over 31.5 PTS+REB,-118,Hit in 4 of his last 4 games,100%,False,30.0
Kawhi Leonard,DEN,Over 35.5 PTS+AST+REB,-112,Hit in 4 of his last 4 games,100%,False,26.0
Norman Powell,DEN,Over 2.5 3PTM,104,Hit in 4 of his last 4 games vs DEN,100%,False,2.0
Norman Powell,DEN,Under 1.5 Steals,-270,Hit in 12 of his last 12 games vs DEN,100%,True,1.0
Norman Powell,DEN,Over 19.5 PTS+AST,-118,Hit in 4 of his last 4 games vs DEN,100%,True,20.0
Norman Powell,DEN,Over 22.5 PTS+AST+REB,-105,Hit in 4 of his last 4 games vs DEN,100%,False,20.0
Miles McBride,DET,Over 1.5 Assists,-120,Hit in 5 of his last 5 games vs DET,100%,True,4.0
Miles McBride,DET,Over 9.5 PTS+AST+REB,-120,Hit in 12 of his last 12 games,100%,False,4.0
Miles McBride,DET,Over 9.5 PTS+AST+REB,-120,Hit in 5 of his last 5 home games,100%,False,4.0
Mikal Bridges,DET,Under 19.5 PTS+REB,-108,Hit in 4 of his last 4 games,100%,True,10.0
Mikal Bridges,DET,Over 3.5 Assists,-132,Hit in 6 of his last 6 home games,100%,False,2.0
Mikal Bridges,DET,Over 23.5 PTS+AST+REB,-118,Hit in 4 of his last 4 games vs DET,100%,False,10.0
Mikal Bridges,DET,Over 0.5 Blocks,105,Hit in 4 of his last 4 games vs DET,100%,True,2.0
Jalen Brunson,DET,Under 31.5 PTS+REB,-128,Hit in 4 of his last 4 games,100%,False,40.0
Jalen Brunson,DET,Under 38.5 PTS+AST+REB,-128,Hit in 4 of his last 4 games,100%,False,46.0
Jalen Brunson,DET,Under 3.5 Rebounds,-162,Hit in 4 of his last 4 games,100%,True,2.0
Jalen Brunson,DET,Under 27.5 Points,-110,Hit in 4 of his last 4 games,100%,False,38.0
Jalen Brunson,DET,Under 1.5 Steals,-245,Hit in 6 of his last 6 games,100%,True,0.0
Karl-Anthony Towns,DET,Over 26.5 PTS+AST,-110,Hit in 4 of his last 4 games vs DET,100%,True,30.0
Karl-Anthony Towns,DET,Over 0.5 Double Double,-310,Hit in 11 of his last 11 games,100%,True,1.0
Cameron Payne,DET,Over 1.5 Assists,-160,Hit in 7 of his last 7 games vs DET,100%,False,1.0
Cameron Payne,DET,Over 5.5 PTS+AST+REB,-135,Hit in 7 of his last 7 games vs DET,100%,True,21.0
Cameron Payne,DET,Over 0.5 Rebounds,-160,Hit in 7 of his last 7 games vs DET,100%,False,0.0
Cameron Payne,DET,Over 2.5 Points,-150,Hit in 7 of his last 7 games vs DET,100%,True,20.0
Jalen Duren,NYK,Under 1.5 Blocks,-245,Hit in 9 of his last 9 games vs NYK,100%,False,3.0
Cade Cunningham,NYK,Over 33.5 PTS+REB,-120,Hit in 6 of his last 6 games,100%,False,29.0
Cade Cunningham,NYK,Over 1.5 3PTM,-158,Hit in 6 of his last 6 games vs NYK,100%,False,1.0
Malik Beasley,NYK,Under 2.5 Rebounds,-188,Hit in 4 of his last 4 games,100%,False,4.0
OG Anunoby,DET,Over 6.5 REB+AST,-158,Hit in 5 of his last 5 games,100%,True,7.0
LeBron James,MIN,Under 14.5 REB+AST,-114,Hit in 8 of his last 8 games,100%,True,8.0
LeBron James,MIN,Under 31.5 PTS+AST,-118,Hit in 4 of his last 4 games,100%,True,24.0
LeBron James,MIN,Under 39.5 PTS+AST+REB,-120,Hit in 5 of his last 5 games,100%,True,24.0
LeBron James,MIN,Under 7.5 Rebounds,-114,Hit in 6 of his last 6 games,100%,True,5.0
LeBron James,MIN,Under 1.5 Steals,-186,Hit in 4 of his last 4 games,100%,False,2.0
LeBron James,MIN,Under 1.5 Steals,-186,Hit in 4 of his last 4 games vs MIN,100%,False,2.0
LeBron James,MIN,Under 0.5 Blocks,-110,Hit in 5 of his last 5 games,100%,False,3.0
Rui Hachimura,MIN,Under 1.5 3PTM,118,Hit in 4 of his last 4 games vs MIN,100%,False,3.0
Dorian Finney-Smith,MIN,Over 12.5 PTS+AST+REB,-130,Hit in 4 of his last 4 games,100%,False,7.0
Julius Randle,LAL,Under 4.5 Assists,-114,Hit in 4 of his last 4 games vs LAL,100%,False,5.0
Julius Randle,LAL,Under 0.5 Blocks,-325,Hit in 6 of his last 6 games vs LAL,100%,True,0.0
Rudy Gobert,LAL,Over 0.5 Double Double,-195,Hit in 9 of his last 9 games vs LAL,100%,False,0.0
Rudy Gobert,LAL,Under 1.5 Blocks,-200,Hit in 5 of his last 5 games vs LAL,100%,True,1.0
Mike Conley,LAL,Under 1.5 3PTM,-114,Hit in 4 of his last 4 games,100%,False,2.0
Jaden McDaniels,LAL,Under 1.5 Assists,-120,Hit in 4 of his last 4 games vs LAL,100%,False,2.0
Anthony Edwards,LAL,Under 32.5 PTS+AST,-128,Hit in 4 of his last 4 games vs LAL,100%,False,39.0
Anthony Edwards,LAL,Under 5.5 Assists,-158,Hit in 6 of his last 6 games,100%,False,9.0
Anthony Edwards,LAL,Under 5.5 Assists,-158,Hit in 4 of his last 4 games vs LAL,100%,False,9.0
Anthony Edwards,LAL,Under 37.5 PTS+AST+REB,-114,Hit in 5 of his last 5 games vs LAL,100%,False,39.0
Anthony Edwards,LAL,Over 5.5 Rebounds,-110,Hit in 4 of his last 4 games vs LAL,100%,True,8.0
