Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Franz Wagner,GSW,Under 9.5 REB+AST,104,Hit in 5 of his last 5 games vs GSW,100%
Franz Wagner,GSW,Under 28.5 PTS+AST,-112,Hit in 5 of his last 5 games vs GSW,100%
Franz Wagner,GSW,Under 34.5 PTS+AST+REB,-112,Hit in 5 of his last 5 games vs GSW,100%
W. Carter,GSW,Over 8.5 Points,-137,Hit in 5 of his last 5 games,100%
W. Carter,GSW,Over 8.5 Points,-137,Hit in 4 of his last 4 home games,100%
Carmelo Anthony,GSW,Over 3.5 Rebounds,-114,Hit in 4 of his last 4 games vs GSW,100%
Kentavious Caldwell-Pope,GSW,Under 1.5 3PTM,-154,Hit in 8 of his last 8 games,100%
Kentavious Caldwell-Pope,GSW,Over 7.5 Points,-125,Hit in 5 of his last 5 games vs GSW,100%
Kentavious Caldwell-Pope,GSW,Over 8.5 PTS+AST,-125,Hit in 5 of his last 5 games vs GSW,100%
Seth Curry,ORL,Over 5.5 Assists,104,Hit in 4 of his last 5 games,80%
Kentavious Caldwell-Pope,GSW,Over 9.5 PTS+REB,-120,Hit in 5 of his last 5 games vs GSW,100%
Kentavious Caldwell-Pope,GSW,Over 10.5 PTS+AST+REB,-135,Hit in 5 of his last 5 games vs GSW,100%
Danny Green,ORL,Over 12.5 PTS+AST,-136,Hit in 5 of his last 5 games,100%
Danny Green,ORL,Over 13.5 PTS+REB,-118,Hit in 5 of his last 5 games,100%
Franz Wagner,GSW,Under 28.5 PTS+AST,-112,Hit in 4 of his last 5 games,80%
Danny Green,ORL,Over 5.5 Assists,110,Hit in 4 of his last 4 games,100%
Danny Green,ORL,Over 19.5 PTS+AST+REB,-102,Hit in 5 of his last 5 games,100%
Seth Curry,ORL,Over 3.5 3PTM,-158,Hit in 7 of his last 7 away games,100%
Moses Moody,ORL,Over 15.5 PTS+REB,-114,Hit in 4 of his last 4 away games,100%
Moses Moody,ORL,Over 16.5 PTS+AST+REB,-125,Hit in 4 of his last 4 away games,100%
Jackie Butler,ORL,Under 24.5 PTS+AST,-114,Hit in 4 of his last 4 games,100%
Paolo Banchero,GSW,Under 3.5 Turnovers,-135,Hit in 5 of his last 5 games,100%
Paolo Banchero,GSW,Over 0.5 Blocks,-140,Hit in 6 of his last 6 home games,100%
W. Carter,GSW,Under 2.5 Assists,-263,Hit in 6 of his last 6 games,100%
Danny Green,ORL,Under 1.5 Blocks,-210,Hit in 4 of his last 4 games vs ORL,100%
Seth Curry,ORL,Under 2.5 Turnovers,100,Hit in 4 of his last 4 games,100%
Jackie Butler,ORL,Under 1.5 Turnovers,-145,Hit in 4 of his last 4 games,100%
Jackie Butler,ORL,Under 19.5 Points,-122,Hit in 4 of his last 4 games,100%
Franz Wagner,GSW,Under 0.5 Blocks,-175,Hit in 5 of his last 5 games vs GSW,100%
Kentavious Caldwell-Pope,GSW,Over 3.5 REB+AST,100,Hit in 8 of his last 8 games vs GSW,100%
Kentavious Caldwell-Pope,GSW,Over 0.5 Steals,-220,Hit in 8 of his last 8 games vs GSW,100%
Buddy Hield,ORL,Over 0.5 Turnovers,-210,Hit in 8 of his last 8 games vs ORL,100%
Buddy Hield,ORL,Over 0.5 STL+BLK,-200,Hit in 4 of his last 4 games,100%
Seth Curry,ORL,Under 0.5 Blocks,-275,Hit in 6 of his last 6 games,100%
Moses Moody,ORL,Over 0.5 Blocks,110,Hit in 4 of his last 4 away games,100%
Moses Moody,ORL,Under 1.5 STL+BLK,-160,Hit in 4 of his last 4 games vs ORL,100%
Jackie Butler,ORL,Under 0.5 Blocks,-235,Hit in 4 of his last 4 games,100%
Taurean Prince,DEN,Under 3.5 Rebounds,-192,Hit in 4 of his last 4 games vs DEN,100%
Brook Lopez,DEN,Over 13.5 PTS+AST,-140,Hit in 4 of his last 4 games,100%
Brook Lopez,DEN,Over 18.5 PTS+AST+REB,-130,Hit in 5 of his last 5 games,100%
Aaron Gordon,MIL,Over 5.5 Rebounds,108,Hit in 4 of his last 4 games vs MIL,100%
Jamal Murray,MIL,Under 9.5 REB+AST,-136,Hit in 4 of his last 4 games,100%
Jamal Murray,MIL,Over 2.5 3PTM,-102,Hit in 4 of his last 4 games,100%
Carl Braun,MIL,Over 19.5 PTS+REB,-114,Hit in 4 of his last 4 away games,100%
Carl Braun,MIL,Over 14.5 Points,-104,Hit in 4 of his last 4 away games,100%
Carl Braun,MIL,Over 16.5 PTS+AST,-118,Hit in 4 of his last 4 away games,100%
Carl Braun,MIL,Over 21.5 PTS+AST+REB,-118,Hit in 4 of his last 4 away games,100%
Nikola Jokić,MIL,Over 22.5 REB+AST,-154,Hit in 4 of his last 4 games,100%
Taurean Prince,DEN,Under 2.5 Assists,-200,Hit in 16 of his last 16 games vs DEN,100%
Damian Lillard,DEN,Under 1.5 Steals,-225,Hit in 4 of his last 4 games vs DEN,100%
Giannis Antetokounmpo,DEN,Under 1.5 Blocks,-186,Hit in 9 of his last 9 games,100%
Russell Westbrook,MIL,Over 2.5 Turnovers,-118,Hit in 5 of his last 5 games,100%
Carl Braun,MIL,Under 2.5 Assists,-155,Hit in 4 of his last 4 games vs MIL,100%
Brook Lopez,DEN,Over 17.5 PTS+REB,-122,Hit in 5 of his last 5 games,100%
Giannis Antetokounmpo,DEN,Over 0.5 Steals,-210,Hit in 4 of his last 4 games vs DEN,100%
Giannis Antetokounmpo,DEN,Under 2.5 STL+BLK,-155,Hit in 4 of his last 4 games,100%
Aaron Gordon,MIL,Under 0.5 Blocks,-325,Hit in 5 of his last 5 games,100%
Russell Westbrook,MIL,Under 4.5 Rebounds,-144,Hit in 4 of his last 4 games,100%
Giannis Antetokounmpo,DEN,Under 40.5 PTS+REB,-110,Hit in 4 of his last 4 games,100%
