Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Terrel Harris,NYK,Over 16.5 PTS+AST,-110,Hit in 6 of his last 6 home games,100%
Terrel Harris,NYK,Over 1.5 Assists,-165,Hit in 4 of his last 4 home games,100%
Amen Thompson,NYK,Under 1.5 Assists,-105,Hit in 4 of his last 4 games,100%
Amen Thompson,NYK,Under 1.5 Assists,-105,Hit in 4 of his last 4 games vs NYK,100%
Miles McBride,DET,Over 1.5 Assists,-110,Hit in 12 of his last 12 away games,100%
Miles McBride,DET,Over 7.5 PTS+AST+REB,-110,Hit in 8 of his last 8 away games,100%
Miles McBride,DET,Over 1.5 Rebounds,130,Hit in 5 of his last 5 away games,100%
Miles McBride,DET,Over 0.5 3PTM,-155,Hit in 8 of his last 8 away games,100%
Miles McBride,DET,Over 4.5 Points,-115,Hit in 8 of his last 8 away games,100%
Jalen Brunson,DET,Under 10.5 REB+AST,-138,Hit in 4 of his last 4 games,100%
Jalen Brunson,DET,Under 3.5 Rebounds,-192,Hit in 6 of his last 6 games,100%
OG Anunoby,DET,Under 7.5 REB+AST,-136,Hit in 4 of his last 4 games vs DET,100%
OG Anunoby,DET,Over 18.5 PTS+AST,-112,Hit in 4 of his last 4 away games,100%
OG Anunoby,DET,Over 21.5 PTS+REB,-118,Hit in 4 of his last 4 away games,100%
OG Anunoby,DET,Over 1.5 Assists,-188,Hit in 4 of his last 4 away games,100%
OG Anunoby,DET,Over 23.5 PTS+AST+REB,-122,Hit in 4 of his last 4 away games,100%
OG Anunoby,DET,Over 1.5 3PTM,-192,Hit in 13 of his last 13 away games,100%
OG Anunoby,DET,Over 16.5 Points,-106,Hit in 4 of his last 4 away games,100%
OG Anunoby,DET,Over 1.5 Steals,-166,Hit in 4 of his last 4 games,100%
Jason Hart,DET,Over 17.5 PTS+AST,-110,Hit in 4 of his last 4 away games,100%
Jason Hart,DET,Under 21.5 PTS+REB,-118,Hit in 5 of his last 5 games,100%
Jason Hart,DET,Under 1.5 Steals,-168,Hit in 4 of his last 4 games vs DET,100%
Jason Hart,DET,Over 0.5 3PTM,-220,Hit in 8 of his last 8 games vs DET,100%
Mitchell Robinson,DET,Over 5.5 Rebounds,-118,Hit in 4 of his last 4 games,100%
Mitchell Robinson,DET,Over 5.5 Rebounds,-118,Hit in 5 of his last 5 games vs DET,100%
Karl-Anthony Towns,DET,Under 1.5 3PTM,-154,Hit in 5 of his last 5 games,100%
Jason Hart,DET,Over 11.5 Points,-130,Hit in 4 of his last 4 away games,100%
Isaiah Stewart,NYK,Under 5.5 Rebounds,-160,Hit in 5 of his last 5 games vs NYK,100%
Desmond Bane,OKL,Under 24.5 PTS+AST,-108,Hit in 4 of his last 4 games vs OKL,100%
Desmond Bane,OKL,Under 19.5 Points,-104,Hit in 4 of his last 4 games vs OKL,100%
Zach Edey,OKL,Under 17.5 PTS+REB,-106,Hit in 5 of his last 5 games vs OKL,100%
Zach Edey,OKL,Under 9.5 Rebounds,108,Hit in 5 of his last 5 games vs OKL,100%
Zach Edey,OKL,Under 11.5 REB+AST,-120,Hit in 5 of his last 5 games vs OKL,100%
Zach Edey,OKL,Under 9.5 PTS+AST,-130,Hit in 5 of his last 5 games vs OKL,100%
Ja Morant,OKL,Over 30.5 PTS+AST,-112,Hit in 8 of his last 8 home games,100%
Ja Morant,OKL,Over 28.5 PTS+REB,-122,Hit in 8 of his last 8 home games,100%
Ja Morant,OKL,Under 23.5 Points,-102,Hit in 5 of his last 5 games,100%
Isaiah Joe,MEM,Over 2.5 Rebounds,110,Hit in 4 of his last 4 away games,100%
Isaiah Hartenstein,MEM,Over 12.5 REB+AST,-120,Hit in 6 of his last 6 games vs MEM,100%
Luguentz Dort,MEM,Over 3.5 Rebounds,-172,Hit in 8 of his last 8 away games,100%
Alex Caruso,MEM,Over 3.5 Rebounds,110,Hit in 4 of his last 4 away games,100%
Alex Caruso,MEM,Over 2.5 Assists,-130,Hit in 4 of his last 4 games,100%
Cason Wallace,MEM,Under 1.5 Steals,-154,Hit in 4 of his last 4 games vs MEM,100%
Cason Wallace,MEM,Under 2.5 Rebounds,100,Hit in 5 of his last 5 games,100%
Chet Holmgren,MEM,Over 10.5 REB+AST,-130,Hit in 4 of his last 4 games vs MEM,100%
Chet Holmgren,MEM,Over 18.5 PTS+AST,-104,Hit in 5 of his last 5 away games,100%
Ja Morant,OKL,Over 35.5 PTS+AST+REB,-106,Hit in 8 of his last 8 home games,100%
Jalen Williams,MEM,Over 27.5 PTS+AST,-104,Hit in 5 of his last 5 away games,100%
Jalen Williams,MEM,Over 32.5 PTS+AST+REB,-110,Hit in 5 of his last 5 away games,100%
Isaiah Joe,MEM,Over 10.5 PTS+AST+REB,-118,Hit in 4 of his last 4 away games,100%
Zach Edey,OKL,Under 19.5 PTS+AST+REB,-140,Hit in 5 of his last 5 games vs OKL,100%
Luke Kennard,OKL,Over 1.5 Rebounds,-185,Hit in 8 of his last 8 games vs OKL,100%
Aaron Wiggins,MEM,Over 10.5 PTS+AST+REB,-120,Hit in 6 of his last 6 away games,100%
Aaron Wiggins,MEM,Over 2.5 Rebounds,105,Hit in 7 of his last 7 away games,100%
Aaron Wiggins,MEM,Over 0.5 3PTM,-200,Hit in 6 of his last 6 away games,100%
Aaron Wiggins,MEM,Over 7.5 Points,100,Hit in 5 of his last 5 games,100%
Aaron Wiggins,MEM,Over 7.5 Points,100,Hit in 6 of his last 6 away games,100%
Aaron Wiggins,MEM,Over 7.5 Points,100,Hit in 5 of his last 5 games vs MEM,100%
Ivica Zubac,DEN,Over 0.5 Double Double,-320,Hit in 17 of his last 17 games,100%
Kris Dunn,DEN,Under 2.5 Assists,-188,Hit in 7 of his last 7 games vs DEN,100%
James Harden,DEN,Over 0.5 Blocks,-175,Hit in 4 of his last 4 games,100%
Norman Powell,DEN,Under 21.5 PTS+AST+REB,-108,Hit in 4 of his last 4 games,100%
Norman Powell,DEN,Under 2.5 3PTM,-138,Hit in 4 of his last 4 games,100%
Norman Powell,DEN,Under 16.5 Points,100,Hit in 4 of his last 4 games,100%
Norman Powell,DEN,Under 18.5 PTS+AST,-125,Hit in 4 of his last 4 games,100%
Norman Powell,DEN,Under 18.5 PTS+REB,-110,Hit in 4 of his last 4 games,100%
Jamal Murray,LAC,Under 1.5 Steals,-186,Hit in 7 of his last 7 games,100%
Aaron Gordon,LAC,Over 7.5 REB+AST,-154,Hit in 4 of his last 4 away games,100%
Aaron Gordon,LAC,Over 17.5 PTS+AST,-125,Hit in 7 of his last 7 away games,100%
Aaron Gordon,LAC,Under 1.5 3PTM,-270,Hit in 9 of his last 9 games vs LAC,100%
Aaron Gordon,LAC,Under 0.5 Blocks,-295,Hit in 5 of his last 5 games vs LAC,100%
Russell Westbrook,LAC,Over 15.5 PTS+REB,-108,Hit in 4 of his last 4 games,100%
Carl Braun,LAC,Under 2.5 Assists,-140,Hit in 6 of his last 6 games vs LAC,100%
