Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage,Bet Hit,Actual Value
Terance Mann,MIA,Over 8.5 PTS+AST+REB,-120,Hit in 6 of his last 6 games vs MIA,100%,False,8.0
Terance Mann,MIA,Over 8.5 PTS+AST+REB,-120,Hit in 5 of his last 5 home games,100%,False,8.0
Terance Mann,MIA,Over 2.5 Rebounds,105,Hit in 7 of his last 7 home games,100%,True,3.0
Terance Mann,MIA,Over 0.5 3PTM,-110,Hit in 6 of his last 6 games vs MIA,100%,True,1.0
Terance Mann,MIA,Over 4.5 Points,-135,Hit in 6 of his last 6 games vs MIA,100%,True,7.0
Terance Mann,MIA,Over 8.5 PTS+AST+REB,-120,Hit in 17 of his last 20 games,85%,False,8.0
Terance Mann,MIA,Over 4.5 Points,-135,Hit in 14 of his last 14 home games,100%,True,7.0
Caris LeVert,MIA,Over 12.5 Points,-120,Hit in 4 of his last 4 games vs MIA,100%,True,21.0
Georges Niang,MIA,Over 2.5 Rebounds,-148,Hit in 9 of his last 9 games vs MIA,100%,True,4.0
Georges Niang,MIA,Over 8.5 Points,-132,Hit in 4 of his last 4 games,100%,True,24.0
Georges Niang,MIA,Over 0.5 Assists,-210,Hit in 15 of his last 15 home games,100%,True,4.0
Terance Mann,MIA,Over 2.5 Rebounds,105,Hit in 7 of his last 9 games,78%,True,3.0
Dyson Daniels,MIA,Under 20.5 PTS+REB,-106,Hit in 4 of his last 4 games,100%,False,23.0
Dyson Daniels,MIA,Under 0.5 3PTM,135,Hit in 4 of his last 4 games,100%,False,1.0
Zaccharie Risacher,MIA,Under 14.5 PTS+REB,-106,Hit in 4 of his last 4 games vs MIA,100%,True,3.0
Zaccharie Risacher,MIA,Under 11.5 Points,-114,Hit in 4 of his last 4 games vs MIA,100%,True,3.0
Zaccharie Risacher,MIA,Over 0.5 Assists,-200,Hit in 4 of his last 4 games vs MIA,100%,False,0.0
Zaccharie Risacher,MIA,Under 0.5 Blocks,-225,Hit in 4 of his last 4 games vs MIA,100%,True,0.0
Onyeka Okongwu,MIA,Under 25.5 PTS+REB,-122,Hit in 11 of his last 11 games vs MIA,100%,False,48.0
Onyeka Okongwu,MIA,Under 10.5 Rebounds,-106,Hit in 11 of his last 11 games vs MIA,100%,False,12.0
Onyeka Okongwu,MIA,Under 13.5 REB+AST,-130,Hit in 11 of his last 11 games vs MIA,100%,True,13.0
Onyeka Okongwu,MIA,Over 0.5 3PTM,-175,Hit in 4 of his last 4 games vs MIA,100%,True,4.0
Davion Mitchell,ATL,Under 2.5 Rebounds,116,Hit in 9 of his last 9 games vs ATL,100%,False,3.0
Davion Mitchell,ATL,Over 10.5 Points,-110,Hit in 4 of his last 4 away games,100%,True,24.0
Bam Adebayo,ATL,Under 23.5 PTS+AST,-106,Hit in 5 of his last 5 games vs ATL,100%,True,22.0
Bam Adebayo,ATL,Under 29.5 PTS+REB,-106,Hit in 5 of his last 5 games vs ATL,100%,True,28.0
Bam Adebayo,ATL,Under 33.5 PTS+AST+REB,-104,Hit in 5 of his last 5 games vs ATL,100%,True,22.0
Bam Adebayo,ATL,Under 10.5 Rebounds,-148,Hit in 6 of his last 6 games vs ATL,100%,False,11.0
Bam Adebayo,ATL,Over 0.5 3PTM,-250,Hit in 13 of his last 13 games,100%,False,0.0
Bam Adebayo,ATL,Over 0.5 3PTM,-250,Hit in 6 of his last 6 away games,100%,False,0.0
Tyler Herro,ATL,Under 9.5 REB+AST,112,Hit in 4 of his last 4 games,100%,False,15.0
Tyler Herro,ATL,Under 5.5 Assists,-162,Hit in 5 of his last 5 games,100%,False,7.0
Tyler Herro,ATL,Under 1.5 Steals,-245,Hit in 5 of his last 5 games,100%,True,0.0
Santi Aldama,DAL,Over 2.5 Assists,125,Hit in 4 of his last 4 games vs DAL,100%,True,3.0
Desmond Bane,DAL,Over 2.5 3PTM,-158,Hit in 5 of his last 5 games,100%,True,3.0
Desmond Bane,DAL,Under 1.5 Steals,-245,Hit in 6 of his last 6 games,100%,False,2.0
Ja Morant,DAL,Over 36.5 PTS+AST+REB,-118,Hit in 5 of his last 5 home games,100%,False,33.0
Ja Morant,DAL,Under 1.5 Steals,-200,Hit in 5 of his last 5 games,100%,False,3.0
Naji Marshall,MEM,Under 3.5 Assists,108,Hit in 7 of his last 7 games vs MEM,100%,False,5.0
Naji Marshall,MEM,Over 0.5 3PTM,-185,Hit in 4 of his last 4 games vs MEM,100%,True,1.0
Naji Marshall,MEM,Over 0.5 3PTM,-185,Hit in 4 of his last 4 games,100%,True,1.0
Naji Marshall,MEM,Under 0.5 Blocks,-375,Hit in 4 of his last 4 games,100%,False,3.0
Naji Marshall,MEM,Under 0.5 Blocks,-375,Hit in 6 of his last 6 games vs MEM,100%,False,3.0
Daniel Gafford,MEM,Over 7.5 Points,-132,Hit in 4 of his last 4 games,100%,False,5.0
Daniel Gafford,MEM,Under 1.5 Assists,-165,Hit in 5 of his last 5 games vs MEM,100%,True,1.0
Max Christie,MEM,Over 6.5 PTS+AST+REB,-120,Hit in 4 of his last 4 games vs MEM,100%,True,17.0
Max Christie,MEM,Over 1.5 Rebounds,-115,Hit in 4 of his last 4 games vs MEM,100%,False,1.0
Max Christie,MEM,Over 3.5 Points,-110,Hit in 4 of his last 4 games vs MEM,100%,True,17.0
Anthony Davis,MEM,Under 38.5 PTS+REB,-112,Hit in 4 of his last 4 games,100%,False,53.0
Anthony Davis,MEM,Under 27.5 Points,-125,Hit in 4 of his last 4 games,100%,False,44.0
John Konchar,DAL,Over 0.5 Assists,-105,Hit in 4 of his last 4 games vs DAL,100%,True,2.0
John Konchar,DAL,Over 6.5 PTS+AST+REB,100,Hit in 4 of his last 4 games vs DAL,100%,True,9.0
John Konchar,DAL,Over 2.5 Rebounds,-140,Hit in 4 of his last 4 games vs DAL,100%,True,8.0
Anthony Davis,MEM,Under 1.5 3PTM,-245,Hit in 12 of his last 13 games vs MEM,92%,False,2.0
Onyeka Okongwu,MIA,Under 27.5 PTS+AST+REB,-114,Hit in 10 of his last 11 games vs MIA,91%,False,37.0
Onyeka Okongwu,MIA,Under 17.5 PTS+AST,-125,Hit in 10 of his last 11 games vs MIA,91%,False,37.0
Terance Mann,MIA,Over 4.5 Points,-135,Hit in 18 of his last 20 games,90%,True,7.0
Daniel Gafford,MEM,Over 7.5 Points,-132,Hit in 9 of his last 10 away games,90%,False,5.0
Georges Niang,MIA,Over 0.5 Assists,-210,Hit in 8 of his last 9 games vs MIA,89%,True,4.0
Davion Mitchell,ATL,Under 1.5 Steals,-186,Hit in 8 of his last 9 games vs ATL,89%,True,0.0
Anthony Davis,MEM,Over 0.5 Double Double,-270,Hit in 8 of his last 9 games vs MEM,89%,False,0.0
Davion Mitchell,ATL,Over 10.5 Points,-110,Hit in 7 of his last 8 games,88%,True,24.0
Alec Burks,ATL,Over 7.5 PTS+REB,-118,Hit in 7 of his last 8 games vs ATL,88%,True,11.0
Alec Burks,ATL,Over 0.5 Assists,-250,Hit in 7 of his last 8 games vs ATL,88%,True,2.0
Alec Burks,ATL,Over 8.5 PTS+AST+REB,-120,Hit in 7 of his last 8 games vs ATL,88%,True,9.0
Max Christie,MEM,Over 6.5 PTS+AST+REB,-120,Hit in 7 of his last 8 games,88%,True,17.0
Max Christie,MEM,Over 1.5 Rebounds,-115,Hit in 7 of his last 8 games,88%,False,1.0
Max Christie,MEM,Over 3.5 Points,-110,Hit in 7 of his last 8 games,88%,True,17.0
Caris LeVert,MIA,Over 2.5 Assists,-158,Hit in 6 of his last 7 games,86%,True,6.0
Caris LeVert,MIA,Over 3.5 Rebounds,-144,Hit in 6 of his last 7 games,86%,True,7.0
Dyson Daniels,MIA,Over 2.5 Steals,148,Hit in 6 of his last 7 home games,86%,True,3.0
Alec Burks,ATL,Under 2.5 Rebounds,-165,Hit in 6 of his last 7 games vs ATL,86%,False,4.0
Tyler Herro,ATL,Over 2.5 3PTM,-136,Hit in 6 of his last 7 games vs ATL,86%,True,5.0
Zach Edey,DAL,Over 12.5 Rebounds,-110,Hit in 6 of his last 7 games,86%,False,11.0
Zach Edey,DAL,Over 13.5 REB+AST,-120,Hit in 6 of his last 7 games,86%,False,12.0
Ja Morant,DAL,Under 6.5 Assists,-136,Hit in 6 of his last 7 games,86%,False,9.0
Daniel Gafford,MEM,Over 1.5 Blocks,118,Hit in 6 of his last 7 away games,86%,False,1.0
Daniel Gafford,MEM,Over 13.5 PTS+REB,-114,Hit in 17 of his last 20 games,85%,False,8.0
Max Christie,MEM,Over 6.5 PTS+AST+REB,-120,Hit in 17 of his last 20 away games,85%,True,17.0
Zaccharie Risacher,MIA,Under 3.5 Rebounds,-172,Hit in 5 of his last 6 games,83%,True,0.0
Zaccharie Risacher,MIA,Over 1.5 3PTM,-108,Hit in 5 of his last 6 home games,83%,False,0.0
Zaccharie Risacher,MIA,Under 4.5 REB+AST,-145,Hit in 5 of his last 6 games,83%,True,0.0
Onyeka Okongwu,MIA,Over 0.5 Blocks,-185,Hit in 5 of his last 6 home games,83%,True,1.0
Davion Mitchell,ATL,Under 1.5 Steals,-186,Hit in 5 of his last 6 games,83%,True,0.0
Alec Burks,ATL,Over 0.5 Assists,-250,Hit in 5 of his last 6 games,83%,True,2.0
Tyler Herro,ATL,Over 30.5 PTS+AST,-118,Hit in 5 of his last 6 away games,83%,True,47.0
Tyler Herro,ATL,Over 30.5 PTS+REB,-112,Hit in 5 of his last 6 away games,83%,True,48.0
Tyler Herro,ATL,Over 35.5 PTS+AST+REB,-120,Hit in 5 of his last 6 away games,83%,True,47.0
Desmond Bane,DAL,Under 10.5 REB+AST,-102,Hit in 10 of his last 12 games,83%,False,14.0
Desmond Bane,DAL,Over 26.5 PTS+AST,-130,Hit in 5 of his last 6 games vs DAL,83%,True,37.0
Desmond Bane,DAL,Over 27.5 PTS+REB,-125,Hit in 5 of his last 6 games vs DAL,83%,True,33.0
Desmond Bane,DAL,Over 32.5 PTS+AST+REB,-128,Hit in 5 of his last 6 games vs DAL,83%,True,37.0
Desmond Bane,DAL,Over 5.5 Rebounds,-144,Hit in 5 of his last 6 games,83%,False,5.0
Desmond Bane,DAL,Over 21.5 Points,-128,Hit in 5 of his last 6 games vs DAL,83%,True,28.0
Zach Edey,DAL,Under 1.5 Blocks,-168,Hit in 5 of his last 6 games,83%,False,2.0
Ja Morant,DAL,Under 10.5 REB+AST,-122,Hit in 5 of his last 6 games,83%,False,16.0
Daniel Gafford,MEM,Under 1.5 Assists,-165,Hit in 5 of his last 6 games,83%,True,1.0
P.J. Washington,MEM,Under 19.5 PTS+AST,-128,Hit in 5 of his last 6 games,83%,True,3.0
P.J. Washington,MEM,Under 23.5 PTS+REB,-130,Hit in 5 of his last 6 games,83%,True,6.0
P.J. Washington,MEM,Under 26.5 PTS+AST+REB,-130,Hit in 5 of his last 6 games,83%,True,3.0
P.J. Washington,MEM,Under 16.5 Points,-130,Hit in 5 of his last 6 games,83%,True,0.0
Anthony Davis,MEM,Under 1.5 3PTM,-245,Hit in 14 of his last 17 games,82%,False,2.0
Tyler Herro,ATL,Under 5.5 Assists,-162,Hit in 9 of his last 11 games vs ATL,82%,False,7.0
Caris LeVert,MIA,Over 2.5 Assists,-158,Hit in 4 of his last 5 home games,80%,True,6.0
Dyson Daniels,MIA,Over 11.5 REB+AST,-138,Hit in 4 of his last 5 games,80%,True,14.0
Dyson Daniels,MIA,Under 18.5 PTS+AST,-125,Hit in 4 of his last 5 games vs MIA,80%,True,17.0
Dyson Daniels,MIA,Over 4.5 Assists,-120,Hit in 4 of his last 5 games,80%,False,4.0
Dyson Daniels,MIA,Over 25.5 PTS+AST+REB,-118,Hit in 4 of his last 5 games,80%,False,17.0
Dyson Daniels,MIA,Under 13.5 Points,-120,Hit in 4 of his last 5 games vs MIA,80%,True,13.0
Zaccharie Risacher,MIA,Under 12.5 PTS+AST,100,Hit in 4 of his last 5 games,80%,True,3.0
Zaccharie Risacher,MIA,Over 0.5 Assists,-200,Hit in 4 of his last 5 home games,80%,False,0.0
Zaccharie Risacher,MIA,Under 16.5 PTS+AST+REB,-118,Hit in 4 of his last 5 games,80%,True,3.0
Onyeka Okongwu,MIA,Over 0.5 3PTM,-175,Hit in 12 of his last 15 games,80%,True,4.0
Davion Mitchell,ATL,Over 9.5 REB+AST,110,Hit in 4 of his last 5 games,80%,False,8.0
Davion Mitchell,ATL,Over 6.5 Assists,116,Hit in 4 of his last 5 games,80%,False,5.0
Davion Mitchell,ATL,Over 6.5 Assists,116,Hit in 4 of his last 5 away games,80%,False,5.0
Bam Adebayo,ATL,Under 19.5 Points,-110,Hit in 4 of his last 5 games vs ATL,80%,True,17.0
Alec Burks,ATL,Over 1.5 3PTM,124,Hit in 4 of his last 5 games,80%,False,1.0
Alec Burks,ATL,Over 5.5 Points,-110,Hit in 4 of his last 5 games,80%,True,7.0
Alec Burks,ATL,Under 3.5 REB+AST,-140,Hit in 4 of his last 5 games vs ATL,80%,False,6.0
Alec Burks,ATL,Over 6.5 PTS+AST,-105,Hit in 4 of his last 5 games,80%,True,9.0
Alec Burks,ATL,Over 7.5 PTS+REB,-118,Hit in 4 of his last 5 games,80%,True,11.0
Alec Burks,ATL,Over 8.5 PTS+AST+REB,-120,Hit in 4 of his last 5 games,80%,True,9.0
Tyler Herro,ATL,Over 30.5 PTS+AST,-118,Hit in 4 of his last 5 games vs ATL,80%,True,47.0
Tyler Herro,ATL,Over 35.5 PTS+AST+REB,-120,Hit in 4 of his last 5 games vs ATL,80%,True,47.0
Kel'el Ware,ATL,Over 16.5 PTS+REB,-130,Hit in 12 of his last 15 games,80%,True,20.0
Kel'el Ware,ATL,Over 8.5 Points,-122,Hit in 4 of his last 5 games,80%,True,12.0
Georges Niang,MIA,Over 12.5 PTS+AST+REB,-130,Hit in 4 of his last 5 games vs MIA,80%,True,28.0
Santi Aldama,DAL,Under 15.5 PTS+REB,100,Hit in 4 of his last 5 games,80%,False,17.0
Santi Aldama,DAL,Under 18.5 PTS+AST+REB,-128,Hit in 4 of his last 5 games,80%,True,16.0
Santi Aldama,DAL,Under 6.5 Rebounds,-154,Hit in 4 of his last 5 games,80%,True,4.0
Desmond Bane,DAL,Over 27.5 PTS+REB,-125,Hit in 4 of his last 5 games,80%,True,33.0
Desmond Bane,DAL,Under 4.5 Assists,106,Hit in 4 of his last 5 games,80%,False,9.0
Desmond Bane,DAL,Over 2.5 3PTM,-158,Hit in 4 of his last 5 home games,80%,True,3.0
Desmond Bane,DAL,Over 21.5 Points,-128,Hit in 4 of his last 5 games,80%,True,28.0
Desmond Bane,DAL,Under 1.5 Steals,-245,Hit in 8 of his last 10 games vs DAL,80%,False,2.0
Zach Edey,DAL,Over 23.5 PTS+REB,-118,Hit in 4 of his last 5 games,80%,True,26.0
Zach Edey,DAL,Over 24.5 PTS+AST+REB,-125,Hit in 4 of his last 5 games,80%,False,16.0
Ja Morant,DAL,Over 30.5 PTS+REB,-106,Hit in 4 of his last 5 home games,80%,True,31.0
Naji Marshall,MEM,Under 7.5 REB+AST,110,Hit in 4 of his last 5 games,80%,False,9.0
Naji Marshall,MEM,Under 16.5 PTS+AST,-130,Hit in 8 of his last 10 games vs MEM,80%,False,20.0
Naji Marshall,MEM,Under 16.5 PTS+AST,-130,Hit in 8 of his last 10 games,80%,False,20.0
Naji Marshall,MEM,Under 16.5 PTS+REB,-128,Hit in 8 of his last 10 games vs MEM,80%,False,19.0
Naji Marshall,MEM,Under 16.5 PTS+REB,-128,Hit in 4 of his last 5 games,80%,False,19.0
Naji Marshall,MEM,Under 20.5 PTS+AST+REB,-125,Hit in 8 of his last 10 games vs MEM,80%,True,20.0
Naji Marshall,MEM,Under 20.5 PTS+AST+REB,-125,Hit in 4 of his last 5 games,80%,True,20.0
Naji Marshall,MEM,Over 3.5 Rebounds,-162,Hit in 12 of his last 15 away games,80%,True,4.0
Naji Marshall,MEM,Under 12.5 Points,-136,Hit in 8 of his last 10 games vs MEM,80%,False,15.0
Naji Marshall,MEM,Under 12.5 Points,-136,Hit in 4 of his last 5 games,80%,False,15.0
Daniel Gafford,MEM,Over 13.5 PTS+REB,-114,Hit in 8 of his last 10 away games,80%,False,8.0
Daniel Gafford,MEM,Over 5.5 Rebounds,-106,Hit in 16 of his last 20 games,80%,False,3.0
Daniel Gafford,MEM,Over 15.5 PTS+AST+REB,-120,Hit in 16 of his last 20 games,80%,False,6.0
Daniel Gafford,MEM,Over 15.5 PTS+AST+REB,-120,Hit in 8 of his last 10 away games,80%,False,6.0
Max Christie,MEM,Over 1.5 Assists,150,Hit in 4 of his last 5 games,80%,False,0.0
Max Christie,MEM,Over 1.5 Rebounds,-115,Hit in 16 of his last 20 away games,80%,False,1.0
Anthony Davis,MEM,Over 15.5 REB+AST,-106,Hit in 4 of his last 5 games vs MEM,80%,False,11.0
John Konchar,DAL,Under 0.5 3PTM,-165,Hit in 4 of his last 5 games vs DAL,80%,False,1.0
Max Christie,MEM,Over 3.5 Points,-110,Hit in 15 of his last 19 away games,79%,True,17.0
Davion Mitchell,ATL,Under 1.5 3PTM,-245,Hit in 7 of his last 9 games vs ATL,78%,False,4.0
Bam Adebayo,ATL,Over 3.5 Assists,-152,Hit in 7 of his last 9 games,78%,True,5.0
Tyler Herro,ATL,Under 9.5 REB+AST,112,Hit in 7 of his last 9 games vs ATL,78%,False,15.0
Tyler Herro,ATL,Over 30.5 PTS+AST,-118,Hit in 7 of his last 9 games,78%,True,47.0
Tyler Herro,ATL,Over 30.5 PTS+REB,-112,Hit in 7 of his last 9 games,78%,True,48.0
Tyler Herro,ATL,Over 35.5 PTS+AST+REB,-120,Hit in 7 of his last 9 games,78%,True,47.0
Ja Morant,DAL,Over 36.5 PTS+AST+REB,-118,Hit in 7 of his last 9 games,78%,False,33.0
Naji Marshall,MEM,Under 7.5 REB+AST,110,Hit in 7 of his last 9 games vs MEM,78%,False,9.0
Anthony Davis,MEM,Under 31.5 PTS+AST,-120,Hit in 7 of his last 9 games,78%,False,46.0
Anthony Davis,MEM,Under 42.5 PTS+AST+REB,-110,Hit in 7 of his last 9 games,78%,False,46.0
Anthony Davis,MEM,Under 11.5 Rebounds,-130,Hit in 7 of his last 9 games,78%,True,9.0
Alec Burks,ATL,Over 7.5 PTS+REB,-118,Hit in 10 of his last 13 away games,77%,True,11.0
Alec Burks,ATL,Over 8.5 PTS+AST+REB,-120,Hit in 10 of his last 13 away games,77%,True,9.0
Davion Mitchell,ATL,Over 13.5 PTS+REB,-112,Hit in 10 of his last 13 games,77%,True,27.0
Anthony Davis,MEM,Under 3.5 Assists,118,Hit in 10 of his last 13 games vs MEM,77%,True,2.0
