Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Brandin Podziemski,HOU,Under 5.5 Rebounds,-136,Hit in 4 of his last 4 games,100%
Brandin Podziemski,HOU,Under 5.5 Rebounds,-136,Hit in 4 of his last 4 games vs HOU,100%
Danny Green,HOU,Under 11.5 PTS+AST,-118,Hit in 5 of his last 5 games,100%
Danny Green,HOU,Under 11.5 PTS+AST,-118,Hit in 6 of his last 6 games vs HOU,100%
Seth Curry,HOU,Under 1.5 Steals,-270,Hit in 6 of his last 6 games,100%
Seth Curry,HOU,Under 1.5 Steals,-270,Hit in 7 of his last 7 games vs HOU,100%
Jackie Butler,HOU,Over 27.5 PTS+AST,-110,Hit in 4 of his last 4 home games,100%
Jackie Butler,HOU,Over 27.5 PTS+REB,-114,Hit in 4 of his last 4 home games,100%
Jackie Butler,HOU,Over 5.5 Assists,-102,Hit in 4 of his last 4 home games,100%
Jackie Butler,HOU,Over 33.5 PTS+AST+REB,-106,Hit in 4 of his last 4 home games,100%
Jackie Butler,HOU,Over 21.5 Points,-122,Hit in 4 of his last 4 home games,100%
Dillon Brooks,GSW,Over 15.5 PTS+REB,-132,Hit in 4 of his last 4 games,100%
Dillon Brooks,GSW,Over 15.5 PTS+REB,-132,Hit in 4 of his last 4 games vs GSW,100%
Dillon Brooks,GSW,Over 15.5 PTS+REB,-132,Hit in 4 of his last 4 away games,100%
Steven Adams,GSW,Under 7.5 Rebounds,-136,Hit in 4 of his last 4 games,100%
Steven Adams,GSW,Under 7.5 Rebounds,-136,Hit in 4 of his last 4 games vs GSW,100%
Moses Moody,HOU,Over 0.5 Assists,-220,Hit in 9 of his last 9 games,100%
Moses Moody,HOU,Over 0.5 Assists,-220,Hit in 5 of his last 5 games vs HOU,100%
Moses Moody,HOU,Over 0.5 Assists,-220,Hit in 5 of his last 5 home games,100%
Dillon Brooks,GSW,Over 4.5 REB+AST,-105,Hit in 4 of his last 4 away games,100%
Dillon Brooks,GSW,Over 16.5 PTS+AST+REB,-110,Hit in 4 of his last 4 games vs GSW,100%
Dillon Brooks,GSW,Over 16.5 PTS+AST+REB,-110,Hit in 4 of his last 4 games,100%
Dillon Brooks,GSW,Over 16.5 PTS+AST+REB,-110,Hit in 4 of his last 4 away games,100%
JaMychal Green,GSW,Under 0.5 Blocks,-350,Hit in 8 of his last 8 games,100%
JaMychal Green,GSW,Under 0.5 Blocks,-350,Hit in 5 of his last 5 games vs GSW,100%
Danny Green,HOU,Under 1.5 Blocks,-200,Hit in 13 of his last 14 games vs HOU,93%
Dillon Brooks,GSW,Over 1.5 3PTM,-166,Hit in 12 of his last 13 games,92%
JR Smith,GSW,Over 7.5 Points,-104,Hit in 10 of his last 11 away games,91%
Amen Thompson,GSW,Over 10.5 REB+AST,-122,Hit in 10 of his last 11 away games,91%
Amen Thompson,GSW,Over 24.5 PTS+AST+REB,-114,Hit in 10 of his last 11 away games,91%
Brandin Podziemski,HOU,Under 0.5 Blocks,-275,Hit in 18 of his last 20 games,90%
Kevon Looney,HOU,Over 1.5 Points,-190,Hit in 18 of his last 20 home games,90%
Jackie Butler,HOU,Over 0.5 3PTM,-175,Hit in 9 of his last 10 home games,90%
Danny Green,HOU,Under 1.5 Blocks,-200,Hit in 17 of his last 19 games,89%
Kevon Looney,HOU,Over 2.5 Rebounds,-145,Hit in 15 of his last 17 games vs HOU,88%
Kevon Looney,HOU,Over 1.5 Points,-190,Hit in 15 of his last 17 games vs HOU,88%
JaMychal Green,GSW,Under 18.5 PTS+AST,-130,Hit in 7 of his last 8 games,88%
JaMychal Green,GSW,Under 20.5 PTS+REB,-130,Hit in 7 of his last 8 games,88%
JaMychal Green,GSW,Under 22.5 PTS+AST+REB,-108,Hit in 7 of his last 8 games,88%
JaMychal Green,GSW,Under 15.5 Points,-120,Hit in 7 of his last 8 games,88%
Amen Thompson,GSW,Over 17.5 PTS+AST,-112,Hit in 7 of his last 8 away games,88%
Tari Eason,GSW,Over 12.5 PTS+AST+REB,-110,Hit in 13 of his last 15 away games,87%
Danny Green,HOU,Under 1.5 3PTM,-245,Hit in 12 of his last 14 games vs HOU,86%
Dillon Brooks,GSW,Over 1.5 3PTM,-166,Hit in 6 of his last 7 games vs GSW,86%
Amen Thompson,GSW,Over 3.5 Assists,-132,Hit in 6 of his last 7 away games,86%
Buddy Hield,HOU,Under 0.5 Blocks,-325,Hit in 6 of his last 7 games,86%
Tari Eason,GSW,Over 6.5 Points,-130,Hit in 12 of his last 14 away games,86%
Tari Eason,GSW,Over 0.5 Assists,-200,Hit in 11 of his last 13 away games,85%
Brandin Podziemski,HOU,Under 14.5 Points,-130,Hit in 5 of his last 6 games,83%
Danny Green,HOU,Under 10.5 REB+AST,-106,Hit in 5 of his last 6 games vs HOU,83%
Danny Green,HOU,Under 14.5 PTS+REB,-122,Hit in 5 of his last 6 games,83%
Danny Green,HOU,Under 14.5 PTS+REB,-122,Hit in 5 of his last 6 games vs HOU,83%
Danny Green,HOU,Under 18.5 PTS+AST+REB,-120,Hit in 5 of his last 6 games vs HOU,83%
Danny Green,HOU,Under 7.5 Points,-120,Hit in 5 of his last 6 games,83%
Danny Green,HOU,Under 7.5 Points,-120,Hit in 5 of his last 6 games vs HOU,83%
Danny Green,HOU,Over 1.5 Steals,-122,Hit in 5 of his last 6 games,83%
Jackie Butler,HOU,Under 5.5 Rebounds,-102,Hit in 10 of his last 12 games,83%
Dillon Brooks,GSW,Over 1.5 3PTM,-166,Hit in 5 of his last 6 away games,83%
JaMychal Green,GSW,Over 7.5 REB+AST,104,Hit in 5 of his last 6 games vs GSW,83%
JaMychal Green,GSW,Under 20.5 PTS+REB,-130,Hit in 10 of his last 12 games vs GSW,83%
JaMychal Green,GSW,Over 2.5 Assists,-122,Hit in 5 of his last 6 away games,83%
Fred VanVleet,GSW,Under 1.5 Steals,-200,Hit in 5 of his last 6 games,83%
Amen Thompson,GSW,Under 1.5 Blocks,-186,Hit in 5 of his last 6 games,83%
Amen Thompson,GSW,Under 1.5 Steals,-144,Hit in 5 of his last 6 games,83%
Amen Thompson,GSW,Under 1.5 Steals,-144,Hit in 10 of his last 12 games vs GSW,83%
Buddy Hield,HOU,Under 0.5 Blocks,-325,Hit in 5 of his last 6 games vs HOU,83%
Brandin Podziemski,HOU,Under 0.5 Blocks,-275,Hit in 5 of his last 6 games vs HOU,83%
Kevon Looney,HOU,Under 0.5 Assists,-150,Hit in 5 of his last 6 games vs HOU,83%
Tari Eason,GSW,Over 0.5 Assists,-200,Hit in 10 of his last 12 games vs GSW,83%
Kevon Looney,HOU,Over 5.5 PTS+AST+REB,-118,Hit in 14 of his last 17 games vs HOU,82%
Jackie Butler,HOU,Under 0.5 Blocks,-225,Hit in 14 of his last 17 games,82%
JaMychal Green,GSW,Under 15.5 Points,-120,Hit in 9 of his last 11 games vs GSW,82%
Amen Thompson,GSW,Over 20.5 PTS+REB,-118,Hit in 9 of his last 11 away games,82%
Amen Thompson,GSW,Over 6.5 Rebounds,-136,Hit in 9 of his last 11 away games,82%
Brandin Podziemski,HOU,Under 14.5 Points,-130,Hit in 4 of his last 5 games vs HOU,80%
Danny Green,HOU,Under 10.5 REB+AST,-106,Hit in 4 of his last 5 games,80%
Danny Green,HOU,Under 3.5 Assists,118,Hit in 4 of his last 5 games,80%
Danny Green,HOU,Under 3.5 Assists,118,Hit in 4 of his last 5 games vs HOU,80%
Danny Green,HOU,Under 18.5 PTS+AST+REB,-120,Hit in 4 of his last 5 games,80%
Danny Green,HOU,Over 1.5 Steals,-122,Hit in 4 of his last 5 games vs HOU,80%
Jackie Butler,HOU,Under 11.5 REB+AST,-136,Hit in 4 of his last 5 games vs HOU,80%
Jackie Butler,HOU,Under 5.5 Rebounds,-102,Hit in 4 of his last 5 games vs HOU,80%
JR Smith,GSW,Over 7.5 Points,-104,Hit in 16 of his last 20 games,80%
Dillon Brooks,GSW,Under 3.5 Rebounds,-138,Hit in 12 of his last 15 games,80%
JaMychal Green,GSW,Over 7.5 REB+AST,104,Hit in 4 of his last 5 games,80%
