Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Isaiah Hartenstein,IND,Over 0.5 Steals,-174,Hit in 4 of his last 4 home games,100%
Jalen Williams,IND,Under 4.5 Assists,-136,Hit in 4 of his last 4 games,100%
Jalen Williams,IND,Under 4.5 Assists,-136,Hit in 4 of his last 4 games vs IND,100%
Jalen Williams,IND,Under 1.5 Steals,-200,Hit in 7 of his last 7 games,100%
Jalen Williams,IND,Under 1.5 Steals,-200,Hit in 8 of his last 8 games vs IND,100%
Jalen Williams,IND,Over 9.5 REB+AST,-128,Hit in 12 of his last 12 home games,100%
Jalen Williams,IND,Under 1.5 STL+BLK,100,Hit in 6 of his last 6 games,100%
Jalen Williams,IND,Under 1.5 STL+BLK,100,Hit in 8 of his last 8 games vs IND,100%
Cason Wallace,IND,Over 6.5 PTS+REB,-120,Hit in 5 of his last 5 home games,100%
Cason Wallace,IND,Over 1.5 STL+BLK,135,Hit in 5 of his last 5 home games,100%
Shai Gilgeous-Alexander,IND,Under 1.5 3PTM,-130,Hit in 5 of his last 5 games,100%
Shai Gilgeous-Alexander,IND,Under 1.5 3PTM,-130,Hit in 5 of his last 5 games vs IND,100%
Shai Gilgeous-Alexander,IND,Over 1.5 Steals,-132,Hit in 8 of his last 8 home games,100%
Shai Gilgeous-Alexander,IND,Under 44.5 PTS+AST+REB,-125,Hit in 4 of his last 4 games,100%
Shai Gilgeous-Alexander,IND,Under 44.5 PTS+AST+REB,-125,Hit in 4 of his last 4 games vs IND,100%
Chet Holmgren,IND,Under 1.5 3PTM,-210,Hit in 6 of his last 6 games,100%
Chet Holmgren,IND,Under 1.5 3PTM,-210,Hit in 7 of his last 7 games vs IND,100%
Andrew Nembhard,OKL,Under 4.5 Assists,-162,Hit in 5 of his last 5 games,100%
Andrew Nembhard,OKL,Under 4.5 Assists,-162,Hit in 5 of his last 5 games vs OKL,100%
Andrew Nembhard,OKL,Under 7.5 REB+AST,-114,Hit in 4 of his last 4 games,100%
Andrew Nembhard,OKL,Under 7.5 REB+AST,-114,Hit in 4 of his last 4 games vs OKL,100%
Aaron Nesmith,OKL,Over 0.5 Steals,-136,Hit in 4 of his last 4 games,100%
Aaron Nesmith,OKL,Over 0.5 Steals,-136,Hit in 4 of his last 4 games vs OKL,100%
Myles Turner,OKL,Under 1.5 3PTM,-154,Hit in 5 of his last 5 games,100%
Myles Turner,OKL,Under 1.5 3PTM,-154,Hit in 5 of his last 5 games vs OKL,100%
Pascal Siakam,OKL,Over 10.5 REB+AST,-128,Hit in 4 of his last 4 away games,100%
Cason Wallace,IND,Over 0.5 Steals,-210,Hit in 19 of his last 20 home games,95%
Isaiah Hartenstein,IND,Over 11.5 PTS+REB,-132,Hit in 15 of his last 16 home games,94%
Isaiah Hartenstein,IND,Over 13.5 PTS+AST+REB,-130,Hit in 15 of his last 16 home games,94%
Bennedict Mathurin,OKL,Under 0.5 Steals,-200,Hit in 13 of his last 14 games,93%
Aaron Nesmith,OKL,Over 16.5 PTS+AST+REB,-115,Hit in 10 of his last 11 away games,91%
Aaron Nesmith,OKL,Over 14.5 PTS+REB,-128,Hit in 10 of his last 11 away games,91%
Isaiah Hartenstein,IND,Under 1.5 Turnovers,-245,Hit in 9 of his last 10 games,90%
Ben Sheppard,OKL,Over 2.5 Points,-115,Hit in 9 of his last 10 games vs OKL,90%
Cason Wallace,IND,Over 0.5 Steals,-210,Hit in 8 of his last 9 games vs IND,89%
Bennedict Mathurin,OKL,Under 0.5 Steals,-200,Hit in 8 of his last 9 games vs OKL,89%
Alex Caruso,IND,Under 6.5 REB+AST,-140,Hit in 15 of his last 17 games,88%
Isaiah Hartenstein,IND,Over 0.5 Steals,-174,Hit in 7 of his last 8 games,88%
Isaiah Hartenstein,IND,Under 1.5 Turnovers,-245,Hit in 7 of his last 8 games vs IND,88%
Shai Gilgeous-Alexander,IND,Over 2.5 STL+BLK,-105,Hit in 7 of his last 8 home games,88%
Chet Holmgren,IND,Under 15.5 Points,-132,Hit in 7 of his last 8 games vs IND,88%
Jalen Williams,IND,Under 1.5 3PTM,-154,Hit in 6 of his last 7 games,86%
Jalen Williams,IND,Under 1.5 3PTM,-154,Hit in 6 of his last 7 games vs IND,86%
Alex Caruso,IND,Under 2.5 Assists,-130,Hit in 6 of his last 7 games vs IND,86%
Cason Wallace,IND,Over 8.5 PTS+AST+REB,104,Hit in 6 of his last 7 home games,86%
Tyrese Haliburton,OKL,Over 2.5 Turnovers,-135,Hit in 6 of his last 7 games,86%
